,BE1,BE2,DE1,DE2,DE3,DE4,DK1,NL1,NL2,NL3,NL4,NO1,UK1,UK2,UK3,UK4
0,2293.340882043549,7312.10790474418,7707.240597762444,1662.406061694905,2752.46024817962,33103.2537856067,5819.407804643939,5215.365862976727,2960.9138467126495,2177.563580854132,4280.638114117467,21074.163498388363,2119.4424717362444,9687.5008859908,3668.495857841271,17103.371631287384
1,2070.648440660464,6829.126832529946,7270.421002953677,1612.7781030369965,2619.9520929094433,32039.075240073034,5783.8620180612525,5073.689845728273,2892.975729778401,2125.395380964198,4232.77250419904,20831.421021269933,2029.8711283485181,9265.398344647056,3488.006353644924,16231.317079087621
2,1887.526277924046,6431.966794428436,7042.644676667409,1586.8999733960084,2550.856701656162,31484.16725862032,5802.261916000736,4974.875582112101,2845.591175026595,2089.0098136930274,4199.38784892366,20380.96268917724,1904.3404529147856,8673.838420310409,3235.057491726084,15009.167306488613
3,1758.4775205182066,6152.082543159362,6961.454190368342,1577.6757578494746,2526.2277662951283,31286.371247068375,5888.837798827997,4898.653623308107,2809.04034270681,2060.9432258532815,4173.636062430875,20050.703141265272,1773.996835041613,8059.597634459439,2972.410376306012,13740.15937362264
4,1714.599569505875,6056.9189188581495,7008.658398290243,1583.0387234926552,2540.5470472684547,31401.369992377382,6081.865041590172,4797.046167730627,2760.31636434773,2023.5291443748483,4139.307720006154,19804.94290784405,1661.7626707889178,7530.697160659631,2746.254466461345,12647.46264554934
5,1804.4249200576674,6251.734440445131,7279.307394771062,1613.78770400493,2622.647758123924,32060.72424032772,6387.402047729826,4717.370827539276,2722.109526776885,1994.1909461806429,4112.389199653982,19823.06164289779,1658.914554441551,7517.275489142858,2740.515408767362,12619.73376785277
6,2096.1847843623646,6884.5107089874255,7937.25354624023,1688.5382985118836,2822.234113302106,33663.610619123196,6672.00428860078,5046.943865793577,2880.150189170932,2115.546927749717,4223.736305502156,20508.946550074936,1767.094836374205,8027.072151780755,2958.5025987699323,13672.962442890725
7,2399.6598955349523,7542.69530507944,9144.8637264475,1825.737336307871,3188.5597066739083,36605.58680429692,6848.240070805162,5421.998784856756,3060.000847334161,2253.650329916074,4350.449582756293,21244.333746284636,1955.2775254706303,8913.878001735051,3337.697539570644,15505.08379403948
8,2536.3157667122578,7839.078059589036,9737.96968190783,1893.1213048549566,3368.476947044525,38050.50969816446,6932.542225858175,5873.45313175465,3276.4874398125253,2419.88566789037,4502.974604875579,22129.125367198212,2244.1743277409987,10275.296395300342,3919.83506965076,18317.744205364193
9,2577.581369534969,7928.5759562086805,10144.400178298738,1939.2966965084183,3491.76664366603,39040.654416143865,6963.485416366273,6044.171036504198,3358.352057416118,2482.7477242407176,4560.652091817514,22716.398310181175,2523.5239941278683,11591.72416835507,4482.734774809028,21037.454985782562
10,2564.5002139877774,7900.2052109209435,10672.72434726494,1999.3206751188723,3652.032487612452,40327.756122162515,6898.010318188808,6030.793022294214,3351.9368778296393,2477.8216475977465,4556.1322950156655,22993.48534793148,2706.627200374891,12454.593092297619,4851.694373519425,22820.12317508169
11,2560.432273166247,7891.382556647253,10715.87097844069,2004.222651251961,3665.120912607956,40432.869811555014,6798.57387971533,5937.631697706633,3307.2630855639995,2443.5176157828696,4524.657499854158,23062.453834728687,2830.1709259044324,13036.789568768452,5100.639459347533,24022.9282706511
