,DE00,BE00,DKW1,UK00,NL00,NL_on_Borssele,NL_on_Brabant,NL_on_East,NL_on_Holland_N,NL_on_Holland_S,NL_on_North,NL_on_South,NOS0
0,77861.640625,15151.712890625,3910.1787109375,71411.3203125,22792.26953125,669.7640499732998,3623.2808190068613,3643.2674988723443,5740.42378035518,4502.002800343625,2691.2246096199106,1922.3059730787809,15057.541015625
1,73182.109375,14638.134765625,3884.883544921875,68909.796875,22468.62890625,661.0796013913003,3573.1719657123876,3588.4516433447307,5657.195648120332,4436.354042688253,2655.106564060496,1897.2694409325022,14873.8525390625
2,69466.53125,14239.4873046875,3859.48095703125,65019.67578125,22342.451171875,657.6914333576567,3553.63219820243,3567.0894126018334,5624.752416654892,4410.764496285173,2641.0192282063244,1887.5019865666904,14768.1328125
3,67406.8125,13902.861328125,3877.244384765625,60576.96484375,22236.705078125,654.8508655725075,3537.254772636386,3549.1901854272937,5597.564791074761,4389.320763056713,2629.210386453754,1879.31331390358,14731.7890625
4,66740.0390625,13468.740234375,3957.056640625,55881.2421875,22125.1953125,651.85443854139,3519.9830195813674,3530.319226074502,5568.897459097292,4366.710400370606,2616.755280028063,1870.6754888067812,14713.095703125
5,66771.046875,13350.8515625,4124.6494140625,55060.859375,22547.431640625,663.1949624294887,3585.374185622146,3601.7956865139167,5677.459072104864,4452.337087583986,2663.9029157714804,1903.3677305991177,14942.59375
6,66556.921875,13629.912109375,4338.29443359375,56761.125,23830.37890625,697.5638057087715,3783.91829227421,3819.3055923290535,6007.503632744868,4712.695455276863,2806.9334877068204,2002.4586402094192,15498.3271484375
7,64433.6328125,14219.5625,4487.7197265625,60081.5703125,24985.50390625,728.4026576009416,3962.5094829655163,4015.539403666863,6304.885092492226,4947.334406145149,2935.445243040781,2091.3876203385257,16130.7265625
8,67062.3984375,14868.849609375,4575.1455078125,65639.125,25696.65625,747.3428082390931,4072.384808709846,4136.52157146534,6488.0630384916085,5091.885261161006,3014.447276590069,2146.0114853430405,16916.5390625
9,72770.96875,15242.4775390625,4607.6904296875,71211.03125,25969.92578125,754.6120387124872,4114.591602057853,4183.043273292894,6558.469769109505,5147.449090335071,3044.7825798423637,2166.977427899826,17934.162109375
10,78965.859375,15673.4921875,4589.32275390625,74960.9375,26123.83203125,758.704011401412,4138.359223314304,4209.252206655026,6598.127382812032,5178.747150088024,3061.8622365490423,2178.779820430162,18694.107421875
11,83298.0859375,15555.90625,4547.0185546875,79160.09375,26004.5,755.5314080974852,4119.931081680293,4188.930486968817,6567.378371447519,5154.479762543256,3048.619762440502,2169.62912682213,18997.017578125
12,85701.9296875,15250.00390625,4529.59521484375,81046.78125,25973.462890625,754.7060980958308,4115.137862196941,4183.64555073846,6559.38115491569,5148.168354805448,3045.175150915352,2167.2487189572776,19091.125
13,84412.3046875,14982.4423828125,4526.0615234375,79459.15625,25932.25390625,753.6102131149554,4108.773595646691,4176.628918790011,6548.763184386307,5139.788688348322,3040.6013892514566,2164.0879167122575,19210.95703125
14,80710.9375,14945.498046875,4557.22265625,76303.921875,26025.1015625,756.0791922427258,4123.112631977129,4192.438604354665,6572.686769014978,5158.669167756594,3050.906113961348,2171.2090831925566,19467.03125
15,78367.015625,15050.7099609375,4772.552734375,76781.609375,26440.14453125,767.1093320733455,4187.1996207110005,4263.134789305599,6679.642435381811,5243.081441515851,3096.9531120907045,2203.0238001716903,19814.955078125
16,77600.4453125,15824.7587890625,4976.93408203125,79605.15625,27460.421875,794.1802190482725,4344.669910365911,4437.087210277843,6942.65691720108,5450.679040940306,3210.0364993399253,2281.112077826662,19682.505859375
17,79981.1484375,16462.57421875,4871.1171875,82956.0390625,27153.265625,786.0368634477384,4297.273563883604,4384.6947137073075,6863.462691976385,5388.168119621226,3176.0087474988404,2257.6209248648993,18930.8828125
18,86082.109375,16581.56640625,4705.35546875,84506.3046875,26697.421875,773.9414234780313,4226.917365574489,4306.977755551981,6745.953229191646,5295.418045865779,3125.483367710699,2222.730687627378,18054.185546875
19,89613.34375,16341.408203125,4513.4267578125,83123.328125,26159.556640625,759.6536253516261,4143.87580291579,4215.336596407105,6607.3331202001955,5186.012475211501,3065.826216662861,2181.518803875926,17487.31640625
20,88253.9921875,15888.763671875,4321.1484375,79658.03125,25525.0546875,742.7755893747051,4045.876768880289,4107.317093283551,6443.855725988453,5056.998671975425,2995.391778378373,2132.8390596192057,17107.880859375
21,84122.921875,16089.255859375,4138.5458984375,82185.984375,24711.08984375,721.0850658261138,3920.0968439083276,3968.889731288529,6234.220712990151,4891.575217663458,2904.937416227025,2070.284855846394,16639.84765625
22,82456.71875,16136.880859375,4043.205078125,77120.046875,23847.259765625,698.01517711064,3786.5293322286752,3822.1707315516924,6011.848083329704,4716.122989510219,2808.813309910675,2003.7601419833957,16120.962890625
23,80879.8984375,15558.150390625,3945.591796875,72132.390625,23223.953125,681.3344379115221,3690.0963320429437,3716.432311716757,5851.464005182488,4589.595109422509,2739.366553179149,1955.6643755446278,15700.5302734375
24,87310.0546875,14777.8134765625,4102.099609375,66624.5703125,22317.423828125,657.0192308158547,3549.75622773812,3562.8528118473077,5618.31763609192,4405.689144717007,2638.2246009746996,1885.5641759400935,15226.5439453125
25,82281.015625,14210.2109375,4068.26513671875,63575.53515625,21972.87890625,647.7597443357291,3496.387909695232,3504.5489736438462,5529.743013548669,4335.829464504632,2599.7378656275214,1858.871934894375,15064.26953125
26,78615.546875,13809.4501953125,4051.523193359375,59732.7890625,21875.15625,645.1316184579863,3481.248108129022,3488.019357641674,5504.624648329199,4316.019197598713,2588.817184869382,1851.2961349740267,15054.474609375
27,76607.3046875,13580.7451171875,4105.30078125,55392.21875,21946.6953125,647.0556521640059,3492.3315177592144,3500.1197581959136,5523.012683343282,4330.521373930966,2596.812010798523,1856.8423163080959,15198.09765625
28,76313.03125,13555.376953125,4330.51513671875,51022.3828125,22396.27734375,659.1369562438712,3561.9679355613894,3576.2017166516007,5638.592037135315,4421.680401466022,2647.0291622978984,1891.6691343939058,15664.3720703125
29,77010.0,14232.009765625,4842.333984375,52342.42578125,23726.59375,694.7882614047263,3767.864604607344,3801.692190933808,5980.794505620014,4691.6236217984015,2795.3749679568796,1994.4555976788279,16896.412109375
30,79240.09375,14997.4140625,5371.73876953125,57679.1875,25635.26953125,745.7092045621771,4062.902491126231,4126.073487242479,6472.248380158819,5079.404886931468,3007.631144092407,2141.2999371364167,18377.7578125
31,85647.5625,15491.98828125,5575.7021484375,64390.125,27001.294921875,782.0057975422576,4273.820174789327,4358.780129227325,6824.284187069251,5357.243972747967,3159.1678601202243,2245.9928003786486,19065.064453125
32,93199.453125,15941.6884765625,5618.04296875,70323.5234375,27715.38671875,800.9358266279316,4384.006196749789,4480.592370775391,7008.403016024335,5502.576658973677,3238.2720551436737,2300.6005944552026,19479.439453125
33,97474.53125,16134.224609375,5657.091796875,74728.4140625,28008.1640625,808.688891942315,4429.169051479947,4530.566093816757,7083.908783407839,5562.180180426814,3270.6838321802634,2322.9672292460627,20056.9296875
34,99821.71875,16462.04296875,5608.26953125,77499.2109375,28119.5859375,811.6382410425907,4446.354630769323,4549.589096013426,7112.646455201463,5584.865964565611,3283.0156304382463,2331.475919469338,20410.494140625
