,DE00,BE00,DKW1,UK00,NL00,NL_on_Borssele,NL_on_Brabant,NL_on_East,NL_on_Holland_N,NL_on_Holland_S,NL_on_North,NL_on_South,NOS0
0,94312.2265625,14824.03125,4121.21484375,81587.609375,21796.166015625,642.3675783899879,3467.972418867837,3477.04616722054,5485.650719790609,4301.340260422873,2578.366308330629,1843.4225626025222,15618.3310546875
1,90551.7109375,14328.34765625,4092.0712890625,78878.3125,21469.5703125,633.5829009017319,3417.3720662269757,3421.807942938701,5401.706159884245,4235.135731783488,2541.865348450855,1818.1001623140044,15453.365234375
2,87115.90625,13930.12890625,4046.81787109375,74468.4765625,21295.66015625,628.9012009805698,3390.4213450049515,3392.4085480652975,5357.01434562691,4199.890399444191,2522.4188820483005,1804.605435079778,15373.4306640625
3,84639.65625,13527.4287109375,4043.61669921875,69477.453125,21145.921875,624.8679920892724,3367.212916081482,3367.103683688759,5318.538889330293,4169.548468262462,2505.6696539819204,1792.9802715658152,15349.296875
4,83130.9375,12964.171875,4099.0185546875,64143.10546875,21003.45703125,621.0287593393386,3345.128682405046,3343.0352066437736,5281.936372870634,4140.684409646818,2489.729099217723,1781.9145011266667,15297.859375
5,81287.15625,12869.6455078125,4268.90576171875,63187.484375,21399.421875,631.6948205626186,3406.501754926923,3409.9481607317693,5383.678572003438,4220.918476574215,2534.0222580682407,1812.657832132796,15506.2666015625
6,78419.375,13274.3388671875,4521.47998046875,64861.25390625,22701.640625,666.6745918505646,3608.1818553865883,3630.3719747906725,5718.484073195386,4484.990359190633,2679.4415916037697,1913.4961789823842,16075.7646484375
7,77998.2109375,13871.8515625,4683.3623046875,67979.4765625,23874.087890625,698.0500337358029,3789.5714915439803,3829.271796553632,6020.171000894203,4722.993380792104,2810.068655630058,2003.9615314752223,16707.845703125
8,81807.4765625,14506.423828125,4766.947265625,73513.140625,24629.43359375,718.2092547221073,3906.3430946775343,3957.615169708024,6214.6448018684405,4876.4393861755625,2894.0869037034963,2062.09498289484,17564.3203125
9,85583.8828125,14842.16015625,4794.49560546875,79529.40625,24910.052734375,725.6884160935512,3949.7084497255005,4005.334234059369,6286.915149616759,4933.467532043533,2925.274687041602,2083.6642657946886,18786.166015625
10,88358.15625,15307.64453125,4762.63916015625,83676.765625,25067.84765625,729.8916699637099,3974.0894007394822,4032.175918464431,6327.558371445399,4965.539928988333,2942.8059154023535,2095.7864512462925,19741.84765625
11,90148.96875,15190.89453125,4687.0244140625,88549.0234375,24942.955078125,726.564989117001,3954.7924277565135,4010.9305655985327,6295.389514892709,4940.154765175869,2928.930533483848,2086.192282100528,20116.865234375
12,92276.515625,14933.7509765625,4662.15478515625,90743.1171875,24910.98828125,725.713341627196,3949.8530094525813,4005.493356647512,6287.15610803464,4933.657675050386,2925.378640131275,2083.7361503064108,20215.345703125
13,91995.0859375,14673.96875,4657.5625,88790.1875,24864.279296875,724.4688136694037,3942.635468180962,3997.5491249917113,6275.125944502464,4924.164569542828,2920.1883972334444,2080.146978754182,20349.36328125
14,90006.203125,14632.5234375,4674.24853515625,84973.4375,24918.54296875,725.9146170405506,3951.020348356347,4006.7783045750966,6289.101889504787,4935.1931141349605,2926.2180720903616,2084.3166230478937,20626.921875
15,88866.8203125,14688.134765625,4891.435546875,85163.25,25321.97265625,736.6574159822667,4013.348675687529,4075.4168650279803,6393.020585798927,5017.199056057949,2971.03067424808,2115.299383447267,21013.59375
16,89362.28125,15404.830078125,5158.5888671875,87918.390625,26339.04296875,763.6939913120422,4170.406390211061,4248.6329503595625,6655.102797995555,5224.038228069535,3083.8874888439896,2193.2811219582554,20875.658203125
17,92145.203125,15882.287109375,5076.2734375,91032.90625,26023.99609375,755.3261034400822,4121.767581036824,4194.951771473203,6573.906001388803,5159.9534230404215,3048.946666876362,2169.144546494306,20006.490234375
18,98347.359375,15834.787109375,4909.89404296875,92021.84375,25593.958984375,743.8940037640687,4055.3596974596567,4121.714544602046,6463.093604274311,5072.49886125848,3001.2273168320335,2136.170956184406,18983.931640625
19,99157.625,15575.89453125,4697.8173828125,89944.6015625,25054.68359375,729.5410769670725,3972.055520519911,4029.9364083699584,6324.167572162487,4962.864151479334,2941.3435328140295,2094.775331437208,18344.009765625
20,96313.375,15150.21875,4489.32373046875,86187.921875,24422.05078125,712.678512644534,3874.289601547191,3922.3629555556117,6161.242935409896,4834.3018171088615,2871.029659631243,2046.1452993526634,17935.142578125
21,92196.5078125,15435.037109375,4300.443359375,90136.703125,23611.24609375,691.025385814524,3748.9220412791587,3784.6477786735227,5952.519111572187,4669.618226008825,2780.8076613461126,1983.705889055668,17435.576171875
22,92166.734375,15617.57421875,4228.525390625,85491.953125,22841.3125,670.4179515910644,3629.7996984981714,3654.045517885428,5754.411838090309,4513.3315174998825,2695.017338344396,1924.28863809075,16897.765625
23,92895.03125,15076.24609375,4117.4404296875,80946.546875,22213.34765625,653.5752221284313,3532.5854454262867,3547.656216713057,5592.906731653371,4385.93588591439,2624.956838121988,1875.7313162924713,16476.099609375
24,94546.09375,14322.10546875,4415.57177734375,73092.1484375,22543.29296875,662.4287824232771,3583.6703383483045,3603.5401594130703,5677.7563280120885,4452.863652797718,2661.7783148243698,1901.255392931173,16319.1845703125
25,89939.0703125,13794.3544921875,4372.3076171875,70189.890625,22205.982421875,653.3774834661812,3531.4449290665443,3546.409131457032,5591.012885462778,4384.442102116391,2624.1346227451177,1875.161267560955,16138.4384765625
26,86312.6953125,13416.3076171875,4328.57177734375,65886.9765625,22075.4453125,649.8721134408115,3511.229841451222,3524.3093788836713,5557.449053517207,4357.968747462805,2609.5602149756605,1865.0559627686198,16097.837890625
27,84221.09375,13150.427734375,4340.4609375,61045.15625,22144.08203125,651.7154262751046,3521.859275778262,3535.928804911703,5575.09661893555,4371.888122019604,2617.223932304366,1870.3698510254114,16256.478515625
28,83783.375,13016.484375,4495.21044921875,56051.85546875,22654.892578125,665.4213396954492,3600.945810357005,3622.449780046893,5706.4598175568935,4475.505336161275,2674.22750738679,1909.8829869206932,16912.904296875
29,84045.15625,13649.1943359375,5010.4716796875,56848.59375,24004.53125,701.5343347791596,3809.7419577167307,3851.424926371236,6053.749283855734,4749.486406365034,2824.5855119834596,2014.0088289286448,18338.744140625
30,85841.765625,14451.8623046875,5630.22216796875,61806.6953125,25871.453125,751.2722383272661,4098.213510738547,4168.968045061947,6534.595800942261,5128.928715912918,3032.023023867626,2157.451790149438,19849.693359375
31,92172.640625,14930.93359375,5868.16015625,68050.3046875,27164.67578125,785.5952475926638,4297.8267514643985,4389.41864032014,6867.951111646343,5392.041911396423,3175.3841914520444,2256.4579273779896,20555.09765625
32,99818.359375,15354.546875,5891.3369140625,73680.453125,27840.77734375,803.5009138805783,4402.122767206467,4504.814844594926,7042.310571025006,5529.678799561616,3250.236148786795,2308.1132986946104,21071.94921875
33,103920.328125,15501.73828125,5933.478515625,78220.5,28094.806640625,810.2220823252062,4441.2990562633995,4548.196394903337,7107.835483847992,5581.406112450926,3278.3436056547635,2327.503905179377,21894.478515625
34,105910.0,15834.869140625,5880.3203125,81061.90625,28176.427734375,812.3809017809913,4453.885439871184,4562.137869082227,7128.890539817864,5598.027924169453,3287.3728397152563,2333.7322199380264,22538.650390625
35,107838.734375,15604.6953125,5728.06884765625,85130.890625,28129.359375,811.1360204928128,4446.627331805801,4554.098091404923,7116.748650921969,5588.442549770413,3282.166069183001,2330.140661421081,22687.798828125
36,109449.703125,15467.728515625,5700.4150390625,86727.03125,28146.5625,811.5910286705027,4449.280136800815,4557.036517837034,7121.186390095836,5591.945902374609,3284.0691384610263,2331.453385760178,22568.8671875
37,108565.859375,15247.123046875,5618.6689453125,84563.9375,28130.900390625,811.1767796986207,4446.864964898552,4554.361306371965,7117.146171869046,5588.756370553751,3282.336543292445,2330.2582539406203,22468.576171875
38,106528.6171875,15205.88671875,5502.140625,80821.1875,28207.95703125,813.2147347384728,4458.7472630831935,4567.523653642875,7137.0240637173665,5604.448937065751,3290.8604902897623,2336.137888712576,22485.9921875
39,104938.46875,15224.986328125,5620.619140625,81270.015625,28630.30859375,824.3793624461365,4523.865828617486,4639.687759809414,7245.987307748377,5690.472227332299,3337.566707576141,2368.349400220147,22583.556640625
40,104454.34375,15963.388671875,5983.05419921875,84415.34375,29358.10546875,843.5970259499613,4636.0437762429265,4764.120347258531,7433.797085530506,5838.751986919643,3417.997025414817,2423.7982214336153,22250.38671875
41,105800.3828125,16379.490234375,5913.255859375,87098.734375,28814.201171875,829.2375942099534,4552.213910802828,4671.118830228999,7293.436042997202,5727.932887981882,3357.895399229575,2382.366506424562,21272.09765625
42,110809.453125,16103.966796875,5690.99609375,87520.0859375,28157.5625,811.8819611981984,4450.976376619836,4558.915433339351,7124.023980627207,5594.186028707223,3285.2859757157885,2332.2927437923945,20156.67578125
43,112295.359375,15564.61328125,5429.48974609375,85462.8828125,27319.4453125,789.6963669178572,4321.705286071071,4415.826117509755,6907.859863367402,5423.544314255793,3192.5246107024777,2268.2887536756466,19384.978515625
44,110624.7890625,14941.583984375,5210.1328125,82288.328125,26307.744140625,762.8629419445648,4165.574731867872,4243.298895109481,6647.035609768677,5217.671055735731,3080.4169272610025,2190.883978937673,18820.2421875
45,105816.484375,15313.8349609375,4946.83447265625,86071.109375,25160.833984375,732.3678064238803,3988.4554834368887,4047.996264347871,6351.510475540643,4984.4413719044605,2953.134837143912,2102.927745577348,18083.416015625
46,103837.8828125,15496.447265625,4767.60791015625,80195.53125,24035.650390625,702.3653811256299,3814.553614433249,3856.7105604310427,6061.760248510567,4755.807082168395,2828.048250464125,2016.405253491995,17198.228515625
47,101119.4296875,14800.7734375,4573.4482421875,74473.1953125,23169.283203125,679.2018010331067,3680.5517258927134,3709.6574467618784,5838.788399547881,4579.893620531734,2731.576001681603,1949.6142076760814,16518.646484375
