,onDE,onBE,onDKW,onUK,onNL,onNL_CE,onNL_E,onNL_NE,onNL_NW,onNL_SE,onNL_SW,onNL_W,onNOS
0,47968.45969,9454.10407642735,3569.784092931799,26857.42304741416,14508.822064911317,2307.227302782931,2317.429181346096,1714.341329201353,3653.1898945207813,1224.9655905110349,426.8208764111436,2864.8478901379785,13785.90487501003
1,46326.6643,8752.89704125003,3559.792936296387,25146.81753448856,14198.983305127877,2259.2399845232853,2264.986385762062,1679.7394903738464,3573.530791184144,1200.9708127938063,418.4972977451252,2802.018542745606,13610.47198763445
2,45444.11669,8175.97331844628,3574.585931615712,22792.34095739364,13983.796836805821,2225.8999437910807,2228.592607094142,1655.6888679352905,3518.222428642369,1184.2854129659788,412.70889108948,2758.3986852874805,13264.31156355297
3,45239.06018,7769.94885086925,3632.992309829387,20494.1260447381,13821.162309234871,2200.695163420238,2201.1026496237682,1637.500987751765,3476.4300875672366,1171.6632106618238,408.32984954517235,2725.440360664868,13021.3931854499
4,45232.8794,7629.6023447575,3777.670838990152,18408.45109352264,13609.54765966093,2167.890400837587,2165.354652281122,1613.8212276219356,3422.062985466173,1155.2242130559255,402.62635407701373,2682.567826321171,12900.60725973522
5,46404.06304,7911.35242527631,3949.882495071453,18353.20351163601,13459.088780831058,2144.559643120337,2139.9524896583057,1596.9747523751707,3383.4159995912582,1143.525165589586,398.5671782070669,2652.093552289332,13021.33511476273
6,49462.21506,8823.14217753765,4088.148118117297,20798.52468911108,14206.68049348153,2260.432363388062,2266.288621785068,1680.5994812192237,3575.509405888022,1201.567327634606,418.704231423144,2803.579062143407,13558.7813758086
7,54140.19316,9773.16785482859,4187.24479431459,24836.43920574393,15040.696764816636,2389.5565940244496,2407.560584637228,1773.666589084418,3789.9937921721234,1266.0769085609816,441.08056802208597,2972.761728315348,14096.26847444139
8,56425.33889,10201.9513850325,4220.78940559675,29727.48345154701,16033.056138059652,2543.0190985941517,2576.0604949563167,1884.1266000018645,4045.425738383006,1342.5360483706836,467.5962633026358,3174.2918944509943,14740.88890532727
9,58031.68989,10331.084124684,4219.622663062074,34665.18626555995,16403.54708887536,2600.2684627913777,2639.072061815719,1925.2959512103912,4140.84707059024,1371.0059308208233,477.46807558719917,3249.589536059607,15139.21085684608
10,59971.90642,10293.1330124177,4159.635208237137,37738.16399812575,16371.892059901576,2595.377935292882,2633.6862311303876,1921.7798209521188,4132.69304431132,1368.5749626503505,476.62517615742865,3243.154889407088,15315.08161648095
11,60085.30667,10284.0094774337,4073.911861777567,40050.67718222421,16167.97547656468,2563.8699306646117,2599.000819243075,1899.1231956767838,4080.171268430015,1352.908287184446,471.192878995037,3201.7090963707087,15351.74003600429
12,59058.17738,10023.1607106742,4028.226348021487,41314.23327548823,16360.37830457262,2593.5990823224693,2631.727359629087,1920.500848656813,4129.72726620975,1367.6906869399986,476.31856635466914,3240.8144944598307,15389.29319889687
13,57779.60336,10060.3290979955,4008.318085453694,40935.62285635887,16084.066284235607,2550.9027244706094,2584.732900389534,1889.7970703695607,4058.5618170455164,1346.458192050214,468.9562941080397,3184.6572858021314,15472.7429179551
14,57774.0574,10031.7169195341,4045.713011370942,40094.40466959184,15963.17293958904,2532.217907909019,2564.1811020083783,1876.3569891705451,4027.430428493337,1337.1615319526682,465.73258889400546,3160.0923911610857,15529.73196813636
15,59512.80217,9956.12724562108,4239.487047079075,41109.44788572891,16283.731933190396,2581.756802608816,2618.688566588483,1911.9859265433106,4109.984982620638,1361.803167478384,474.2771363378942,3225.2353510128696,15832.38599535961
16,62779.36976,9972.53396634743,4469.058710600976,44355.63825530327,17110.254241549013,2709.408809086461,2759.4088475450476,2003.7288048372495,4322.941741244537,1425.2071291157545,496.2601438497632,3393.298765870199,15866.40824906556
17,63270.47716,10696.0225131539,4414.60936376784,46131.55159767996,17606.38669331086,2785.9832807658727,2843.9946345008498,2058.719758132528,4450.837004456496,1463.1810640446954,509.4246130405932,3494.2463383698228,15656.97819333205
18,62627.18849,11060.2703574575,4232.921028462125,44996.46701500176,17999.942095722454,2846.700500807658,2911.150047900893,2102.3016967228104,4552.321797866776,1493.2612386436874,519.8517402982691,3574.355073482362,15533.99860645189
19,59985.97018,10749.8324748337,4035.069208947896,41935.58255375227,17986.301646893957,2844.5964308291136,2908.8216420693147,2100.791731269862,4548.8039194966805,1492.2192820497592,519.4905632700637,3571.578077909157,15249.49706457279
20,57675.31573,10246.5361607597,3832.18465453048,38243.02404937329,17449.529914318715,2761.7774817285094,2817.243063080503,2041.3399930395017,4410.396741005765,1451.1818605705723,505.26495949771004,3462.3258153961524,14968.24835423801
21,56577.78473,9845.06941550714,3657.305345399413,36058.32647745687,16780.04660684283,2658.423027595285,2703.1590502759936,1967.0965983530991,4237.845724461812,1399.8983186849193,487.4856525495868,3326.1382349221344,14577.73902074576
22,53211.93279,10238.4275571383,3517.427114925439,31629.16840023889,16059.408804822113,2547.091963318852,2580.5406709589247,1887.0561444061482,4052.211977342368,1344.5623857488324,468.29891176381943,3179.6467512831705,14590.47515906251
23,49153.30131,10303.5224638039,3422.301390736261,27810.89610264895,15315.571028502207,2432.0826038166656,2454.1913140437437,1804.2916510870195,3860.7225729508386,1287.2862794885484,448.43646460908144,3028.5601425063073,14191.83145369082
24,54582.7348,12710.7599871784,3760.544802186691,30433.91595209172,15127.070468600547,2402.9211083096893,2422.209736844389,1783.2923567572332,3812.2168744976198,1272.7441762581122,443.39297908845117,2990.293236845053,13893.6749571093
