,onDE,onBE,onDKW,onUK,onNL_NE,onNL_SE,onNL_NW,onNL_SW,onNL_CE,onNL_W,onNL_E,onNOS
0,48603.416375777284,6916.902563952148,1783.4761780731756,0.0,1751.5390145785027,1751.5390145785027,1751.5390145785027,1751.5390145785027,1751.5390145785027,1751.5390145785027,1751.5390145785027,0.0
1,48167.35490489335,6862.532394818898,1768.989243624178,0.0,1740.4978013923794,1740.4978013923794,1740.4978013923794,1740.4978013923794,1740.4978013923794,1740.4978013923794,1740.4978013923794,0.0
2,48401.29338283125,6891.700930590875,1776.761201527532,0.0,1746.4211970139042,1746.4211970139042,1746.4211970139042,1746.4211970139042,1746.4211970139042,1746.4211970139042,1746.4211970139042,0.0
3,48875.1831508542,6950.787707475093,1792.5048763619138,0.0,1758.420234546061,1758.420234546061,1758.420234546061,1758.420234546061,1758.420234546061,1758.420234546061,1758.420234546061,0.0
4,49209.99503216717,6992.533607606804,1803.6280736659417,0.0,1766.8977763736616,1766.8977763736616,1766.8977763736616,1766.8977763736616,1766.8977763736616,1766.8977763736616,1766.8977763736616,0.0
5,49759.72640407266,7061.0766678495875,1821.8913757027128,0.0,1780.817147099089,1780.817147099089,1780.817147099089,1780.817147099089,1780.817147099089,1780.817147099089,1780.817147099089,0.0
6,50473.764805758794,7150.1062915597795,1845.613323661851,0.0,1798.896823343161,1798.896823343161,1798.896823343161,1798.896823343161,1798.896823343161,1798.896823343161,1798.896823343161,0.0
7,51244.638157955706,7246.2223608247405,1871.2234554148756,0.0,1818.4155783568851,1818.4155783568851,1818.4155783568851,1818.4155783568851,1818.4155783568851,1818.4155783568851,1818.4155783568851,0.0
8,52192.4238609884,7364.396683521731,1902.7110099646927,0.0,1842.4138095712387,1842.4138095712387,1842.4138095712387,1842.4138095712387,1842.4138095712387,1842.4138095712387,1842.4138095712387,0.0
9,52514.62425425945,7404.570124760268,1913.415225513241,0.0,1850.572024566815,1850.572024566815,1850.572024566815,1850.572024566815,1850.572024566815,1850.572024566815,1850.572024566815,0.0
10,49241.61317358089,6996.475904303777,1804.6784988299237,0.0,1767.6983576293046,1767.6983576293046,1767.6983576293046,1767.6983576293046,1767.6983576293046,1767.6983576293046,1767.6983576293046,0.0
11,47769.312907739775,6812.902670221798,1755.7654008732402,0.0,1730.419253203533,1730.419253203533,1730.419253203533,1730.419253203533,1730.419253203533,1730.419253203533,1730.419253203533,0.0
12,45513.71281126433,6531.663975838308,1680.8293358396731,0.0,1673.3067514332158,1673.3067514332158,1673.3067514332158,1673.3067514332158,1673.3067514332158,1673.3067514332158,1673.3067514332158,0.0
13,43106.24141392588,6231.4892624167915,1600.8477675291792,0.0,1612.3488207001353,1612.3488207001353,1612.3488207001353,1612.3488207001353,1612.3488207001353,1612.3488207001353,1612.3488207001353,0.0
14,41615.12258781095,6045.569642851916,1551.309475036141,0.0,1574.5932244269684,1574.5932244269684,1574.5932244269684,1574.5932244269684,1574.5932244269684,1574.5932244269684,1574.5932244269684,0.0
15,41324.34915936227,6009.314661525174,1541.6493333389,0.0,1567.2307500357917,1567.2307500357917,1567.2307500357917,1567.2307500357917,1567.2307500357917,1567.2307500357917,1567.2307500357917,0.0
16,41589.899611727065,6042.424725065567,1550.4715115251822,0.0,1573.9545707629193,1573.9545707629193,1573.9545707629193,1573.9545707629193,1573.9545707629193,1573.9545707629193,1573.9545707629193,0.0
17,42310.14816913849,6132.228659829759,1574.3997747057224,0.0,1592.191490097382,1592.191490097382,1592.191490097382,1592.191490097382,1592.191490097382,1592.191490097382,1592.191490097382,0.0
18,43081.0215213354,6228.344729094719,1600.009906458747,0.0,1611.7102451111061,1611.7102451111061,1611.7102451111061,1611.7102451111061,1611.7102451111061,1611.7102451111061,1611.7102451111061,0.0
19,43605.35107453929,6293.720572623082,1617.4293034339926,0.0,1624.986433821321,1624.986433821321,1624.986433821321,1624.986433821321,1624.986433821321,1624.986433821321,1624.986433821321,0.0
20,43725.42230787749,6308.691611571792,1621.418337555844,0.0,1628.0266751022589,1628.0266751022589,1628.0266751022589,1628.0266751022589,1628.0266751022589,1628.0266751022589,1628.0266751022589,0.0
21,43813.88156678878,6319.721122752084,1624.3571513947668,0.0,1630.266491277593,1630.266491277593,1630.266491277593,1630.266491277593,1630.266491277593,1630.266491277593,1630.266491277593,0.0
