fid,naam,Gebiedsnr,COUNTRY,N_TURBINES,POWER_MW,STATUS,YEAR,TYPE_TURBINE,CAPACITY_TURBINE,HUB_HEIGHT,OWNER,Transformer Platform,Area,latitude,longitude
"1",IJmuiden Ver Kavel I,,Netherlands,,1000,Planned,"2029",,,,,ofNL_IJ_B,93.1279205671753,52.8005020884499,3.55419070577334
"2",IJmuiden Ver Kavel II,,Netherlands,,1000,Planned,"2029",,,,,ofNL_IJ_B,96.071634118954,52.8376913597947,3.43073660069677
"3",IJmuiden Ver Kavel III,,Netherlands,,1000,Planned,"2028",,,,,ofNL_IJ_A,94.0578459634276,52.8811959401592,3.64288105736638
"4",IJmuiden Ver Kavel IV,,Netherlands,,1000,Planned,"2028",,,,,ofNL_IJ_A,103.132220021636,52.9430662686914,3.51814170740246
"5",Borssele Kavel II,,Netherlands,"47",376,Production,"2020",SG 8.0-167 DD,8,116,Orsted,ofNL_BO_A,63.5280733367895,51.6349775579561,3.06933793286325
"6",Borssele Kavel III,,Netherlands,"37",351.5,Production,"2020",Vestas V164-9.5 MW,9.5,109,Blauwind,ofNL_BO_B,71.4897135161909,51.6688793862149,2.96934605731457
"7",Borssele Kavel IV,,Netherlands,"40",380,Production,"2020",Vestas V164-9.5 MW,9.5,109,Blauwind,ofNL_BO_B,74.6469462413823,51.7362141356057,2.8821202021712
"8",Borssele Kavel V,,Netherlands,"2",19,Production,"2020",,9.5,,,ofNL_BO_B,0.589997685740336,51.7091569061481,3.00330557442487
"9",Egmond aan Zee,,Netherlands,"36",108,Production,"2006",V90-3.0 MW,3,70,Noordzeewind,ofNL_EG,26.1269178356176,52.6065418863996,4.42136011902081
"10",ofNL_PA,,Netherlands,"60",120,Production,"2008",V80-2.0,2,60,Eneco,ofNL_PA,21.6692512702116,52.587865347974,4.22382628895201
"11",ofNL_LU,,Netherlands,"43",129,Production,"2015",V112-3.0 MW,3,81,Eneco & Mitsubishi,ofNL_LU,15.9028206336172,52.4050897642858,4.16309464423928
"12",ofNL_GE_B,,Netherlands,"75",300,Production,"2017",Siemens SWT-4.0-130,4,88.5,,ofNL_GE_B,33.3616147543469,54.0345000442524,5.88424183735074
"13",ofNL_GE_A,,Netherlands,"75",300,Production,"2017",Siemens SWT-4.0-130,4,88.5,,ofNL_GE_A,34.2622690531824,54.0383342983222,6.04171160271368
"14",HK Kavel IV (Zuid),,Netherlands,"70",700,Construction,"2023",SG 11.0-200 DD,11,125.8,Vattenfall,ofNL_KZ_B,90.1959313451302,52.3305561039324,4.14492739618324
"15",HK Kavel III (Zuid),,Netherlands,"70",700,Construction,"2023",SG 11.0-200 DD,11,125.8,Vattenfall,ofNL_KZ_B,53.803309650224,52.2276353066588,4.01475490410262
"16",HK Kavel II (Zuid),,Netherlands,"70",700,Construction,"2023",SG 11.0-200 DD,11,125.8,Vattenfall,ofNL_KZ_A,47.7807936297971,52.291202960963,3.98336758560831
"17",HK Kavel I (Zuid),,Netherlands,"70",700,Construction,"2023",SG 11.0-200 DD,11,125.8,Vattenfall,ofNL_KZ_A,67.2761777426035,52.3731729213883,4.04090026057014
"18",Borssele Kavel I,,Netherlands,"47",376,Production,"2020",SG 8.0-167 DD,8,116,Orsted,ofNL_BO_A,64.8510000296635,51.7472530577698,3.06010966859771
"19",HK Kavel V (Noord),,Netherlands,"69",759,Construction,"2023",SG 11.0-200 DD,11,125.5,Crosswind,ofNL_KN,126.419698757938,52.7096689815048,4.25987274212706
"20",HK Kavel VI (West),,Netherlands,"54",756,Planned,"2026",,14,,Ecowende,ofNL_KW_A,90.4909647321878,52.7231973248918,3.8159895643342
"21",HK Kavel VII (West),,Netherlands,,700,Planned,"2026",,,,Oranje Wind Power II,ofNL_KW_B,97.4355797297976,52.6376559781128,3.70942861032621
"22",Gebied 1 Noord,1-n,,,,,,,,,,,674.427625415354,53.4089699064342,3.25552711155379
"23",Gebied 5 Oost,5-o,,,,,,,,,,,385.757903410803,54.2722470066412,5.57718506315828
"24",IJmuiden Ver Kavel V (Noord),IJ-Ver-n,Netherlands,,1000,Planned,"2029",,,,,ofNL_IJ_G,102.09917075364,53.0612544946332,3.64877655370084
"25",Gebied 1 Zuid,1-z,,,,,,,,,,,273.62921619778,53.0995794797466,3.17807892296048
"26",Gebied 2 Noord,2-n,,,,,,,,,,,758.084200946787,53.2961756978179,3.98835857570207
"27",Gebied 2 Zuid,2-z,,,,,,,,,,,87.1841910244549,53.0534666900964,3.92878291672058
"28",HK Kavel VIII (West),HK-w-z,Netherlands,,700,Planned,"2031",,,,,,132.131871540619,52.556283316535,3.63321553017905
"29",Ten noorden van de Wadden,TnvW,,,,,,,,,,,110.847495751518,54.0209690567628,5.64245829990441
"30",IJmuiden Ver Kavel VI (Noord),IJ-Ver-n,Netherlands,,1000,Planned,"2029",,,,,ofNL_IJ_G,126.982675642154,53.0005000391782,3.79340490476792
