,onDE,onBE,onDKW,onUK,onNL,onNL_CE,onNL_E,onNL_NE,onNL_NW,onNL_SE,onNL_SW,onNL_W,onNOS
0,83238.6640625,14525.1171875,3832.516357421875,64052.3125,23170.015625,3681.693241723333,3707.4164381470546,2733.265808584889,5837.659943916343,1951.4041266276517,679.8550430114653,4578.721022989265,14522.32421875
1,79014.328125,14009.560546875,3805.531494140625,61431.34375,22824.19921875,3628.1682768295186,3648.804734468798,2694.700077203237,5748.70683592984,1924.681322300199,670.58622122093,4508.551750797481,14354.6435546875
2,75561.65625,13627.005859375,3776.6767578125,57410.28515625,22682.3984375,3606.216025915534,3624.781636510321,2678.8792509582686,5712.237734466826,1913.7160943105766,666.7827820740332,4479.784913264446,14251.8916015625
3,73512.6796875,13359.0458984375,3786.9248046875,52998.5546875,22555.111328125,3586.508360841556,3603.2226158757812,2664.6741557254304,5679.504262763624,1903.869336456999,663.3672276631834,4453.965368798423,14229.6708984375
4,72682.96875,13066.71875,3851.64990234375,48207.5546875,22396.568359375,3561.958342509287,3576.376724105631,2646.976160752186,5638.736871651021,1891.5995137938323,659.1110861625746,4421.809660400465,14302.04296875
5,72278.3828125,13070.873046875,4017.48095703125,47279.6484375,22774.05859375,3620.406285691213,3640.3094888777773,2689.106323899907,5735.8110054492445,1920.8045411194728,669.2415162897614,4498.379432422622,14615.7177734375
6,71268.5546875,13356.8369140625,4246.10693359375,49494.0234375,24078.119140625,3822.1764017246437,3861.4941667616063,2834.4259717878613,6071.340091213908,2021.4563764022905,704.1504477709896,4763.075684963696,15146.7509765625
7,69218.3359375,13922.9951171875,4403.6669921875,53636.05859375,25279.029296875,4007.807177851647,4065.5960696705406,2967.9702522155103,6380.558867175508,2113.8441901372057,736.1875176568708,5007.065222167719,15696.3828125
8,71702.34375,14548.1875,4488.87939453125,58967.0234375,26019.138671875,4122.131086468753,4191.562810049397,3050.1494436202697,6571.22803371525,2170.649481991959,755.8832465678677,5157.534569461499,16385.86328125
9,76697.4921875,14916.3701171875,4525.1064453125,64550.671875,26286.0078125,4163.340212020144,4237.015882162009,3079.7599829521682,6639.997411947988,2191.1089948691806,762.9766001679856,5211.808728380523,17319.861328125
10,81931.3515625,15328.470703125,4511.35791015625,68154.7265625,26438.1875,4186.836145333203,4262.94242784651,3096.6401269366306,6679.216611698678,2202.7704607900127,767.0195520105134,5242.762175384454,18051.626953125
11,85577.890625,15217.4599609375,4466.34228515625,72441.0859375,26296.265625,4164.924049517631,4238.763318403294,3080.897917892078,6642.6409256359575,2191.8951688056845,763.2491636879378,5213.895081057419,18346.583984375
12,87969.03125,14917.6123046875,4453.908203125,74594.03125,26257.2734375,4158.90348101567,4232.121060049978,3076.5722909041306,6632.592423970341,2188.906655465096,762.2130556764583,5205.9644704183265,18424.384765625
13,87050.921875,14652.62890625,4453.3681640625,73143.75,26224.58984375,4153.856870446379,4226.553730448097,3072.946329065777,6624.169831819983,2186.401459747228,761.3445086130389,5199.3171136095,18498.859375
14,83932.90625,14621.2080078125,4479.724609375,70231.28125,26355.87109375,4174.127107950237,4248.9176912723005,3087.5098359905237,6658.0019588839,2196.4630703369844,764.8328312170252,5226.018598099031,18680.2890625
15,81980.1484375,14755.9365234375,4688.53125,70862.984375,26859.271484375,4251.837989346216,4334.708877853916,3143.3292850996613,6787.752013244879,2235.0180001083622,778.199180962919,5328.426137759041,18906.30078125
