,onDE,onBE,onDKW,onUK,onNL,onNL_CE,onNL_E,onNL_NE,onNL_NW,onNL_SE,onNL_SW,onNL_W,onNOS
0,50715.4776,11089.0703253055,4847.535715131729,55203.51084101015,20595.98896288614,3259.812239901084,3325.155803128777,2409.4882211335353,5205.621418843551,1712.9186877613345,596.3962233833317,4086.5963687345275,14664.87590713225
1,48776.42388,10103.7721798707,4836.793929983382,52210.86632106669,20639.83246786846,3266.578506760704,3332.63222079198,2414.3467665978997,5216.924443956763,1716.273349036611,597.5591667169491,4095.51801400755,14485.66296064191
2,48060.09228,9290.80468338614,4862.040423068116,47824.82962538552,20520.53887907174,3248.167644854289,3312.2909540748533,2401.1263002686533,5186.170810021584,1707.1447262722588,594.3945758109757,4071.243867769126,13818.354020435
3,48067.96593,8678.65963042104,4955.984067832693,42613.02577365565,20435.8589140867,3235.0977092007624,3297.8542820843836,2391.7401341909344,5164.341873258297,1700.6630040957082,592.1475433397381,4054.0143679168755,13285.1584290751
4,49075.29537,8390.20361692285,5175.514353245927,36654.08694310793,20208.69244385541,3200.031205649713,3259.13608420488,2366.553359086706,5105.788271969381,1683.2672820696453,586.1167887547937,4007.79945212029,12929.58225339172
5,50244.47602,8569.1161212171,5401.246061585005,35840.06112345757,19373.56774875217,3071.0590892233586,3116.9316815854113,2273.8688959063757,4890.604208871085,1619.2177180001472,563.9102115386646,3837.975943627129,12812.62850593447
6,53474.8413,9391.16708265687,5550.515578877904,37703.53933272358,19174.65690694418,3040.3262832855066,3083.0937226285314,2251.7711676523727,4839.369507455408,1603.9385623117034,558.6123390103791,3797.5453246002803,13350.5982377426
7,59158.956,10468.7216943131,5659.73544821658,40902.8852882549,19808.38439617858,3138.221482692781,3190.9450750430374,2322.1443185338835,5002.627150551617,1652.5854943001716,575.4794994798626,3926.3813755772226,13901.62418626005
8,61694.54042,11006.8784361174,5691.190659919849,44725.61904395012,21059.09741918823,3331.2708734389944,3404.1546164252895,2460.7893795344266,5325.027714846358,1748.333237305034,608.6728284263118,4180.848769211817,14778.85540980696
9,63358.96192,11215.4754785231,5674.574816453342,48573.56654503349,21162.67647026549,3347.24982996181,3421.8316120157965,2472.257923395612,5351.738683395056,1756.2481469557713,611.4164537646964,4201.933820776749,15189.53722832295
