,onDE,onBE,onDKW,onUK,onNL_NE,onNL_SE,onNL_NW,onNL_SW,onNL_CE,onNL_W,onNL_E,onNOS
0,60961.32119147285,9899.401318834894,1806.3882964867123,5941.29272084339,1900.7940318223518,1900.7940318223518,1900.7940318223518,1900.7940318223518,1900.7940318223518,1900.7940318223518,1900.7940318223518,0.0
1,60547.86552610071,9830.814285472758,1801.98515825744,5812.08113662545,1894.6335733522421,1894.6335733522421,1894.6335733522421,1894.6335733522421,1894.6335733522421,1894.6335733522421,1894.6335733522421,0.0
2,60769.67643009069,9867.609891740125,1804.3473560765185,5881.400632527291,1897.9385392208746,1897.9385392208746,1897.9385392208746,1897.9385392208746,1897.9385392208746,1897.9385392208746,1897.9385392208746,0.0
3,61218.99934081197,9942.146844668983,1809.1324661891206,6021.821311168751,1904.6334169623028,1904.6334169623028,1904.6334169623028,1904.6334169623028,1904.6334169623028,1904.6334169623028,1904.6334169623028,0.0
4,61536.45428330471,9994.808579784227,1812.5132349399928,6121.031116409612,1909.3634718464157,1909.3634718464157,1909.3634718464157,1909.3634718464157,1909.3634718464157,1909.3634718464157,1909.3634718464157,0.0
5,62057.68710327018,10081.274471550965,1818.0641569569295,6283.924805031592,1917.129801853686,1917.129801853686,1917.129801853686,1917.129801853686,1917.129801853686,1917.129801853686,1917.129801853686,0.0
6,62734.70913383839,10193.583810826047,1825.274172043242,6495.505142288372,1927.2173794393286,1927.2173794393286,1927.2173794393286,1927.2173794393286,1927.2173794393286,1927.2173794393286,1927.2173794393286,0.0
7,63465.61974170328,10314.832579303427,1833.0580790233869,6723.926531747172,1938.1078927935512,1938.1078927935512,1938.1078927935512,1938.1078927935512,1938.1078927935512,1938.1078927935512,1938.1078927935512,0.0
8,64364.271410430716,10463.907455151293,1842.628361519847,7004.769716401209,1951.497735400515,1951.497735400515,1951.497735400515,1951.497735400515,1951.497735400515,1951.497735400515,1951.497735400515,0.0
9,64669.768655378786,10514.585560414247,1845.881785552524,7100.242547710524,1956.0496214861525,1956.0496214861525,1956.0496214861525,1956.0496214861525,1956.0496214861525,1956.0496214861525,1956.0496214861525,0.0
10,61566.43331279689,9999.781719272096,1812.8324996686904,6130.400048119656,1909.8101571421525,1909.8101571421525,1909.8101571421525,1909.8101571421525,1909.8101571421525,1909.8101571421525,1909.8101571421525,0.0
11,60170.45837190847,9768.207241371925,1797.9659223204283,5694.135295335621,1889.0102350007623,1889.0102350007623,1889.0102350007623,1889.0102350007623,1889.0102350007623,1889.0102350007623,1889.0102350007623,0.0
12,58031.79054415636,9413.429464846517,1775.1899614115014,5025.767000294706,1857.144244429879,1857.144244429879,1857.144244429879,1857.144244429879,1857.144244429879,1857.144244429879,1857.144244429879,0.0
13,55749.124555727605,9034.764225945843,1750.8804774206023,4312.39695047374,1823.132692042054,1823.132692042054,1823.132692042054,1823.132692042054,1823.132692042054,1823.132692042054,1823.132692042054,0.0
14,54335.306625079975,8800.2298231096,1735.8238793351409,3870.5559747302336,1802.0669106886603,1802.0669106886603,1802.0669106886603,1802.0669106886603,1802.0669106886603,1802.0669106886603,1802.0669106886603,0.0
15,54059.607143793335,8754.494787639931,1732.8877896222302,3784.395426626374,1797.9590090514478,1797.9590090514478,1797.9590090514478,1797.9590090514478,1797.9590090514478,1797.9590090514478,1797.9590090514478,0.0
16,54311.39122999063,8796.26256340502,1735.5691898987504,3863.0820268671428,1801.7105730917103,1801.7105730917103,1801.7105730917103,1801.7105730917103,1801.7105730917103,1801.7105730917103,1801.7105730917103,0.0
17,54994.301476415814,8909.548682758954,1742.8419121396953,4076.5025268374034,1811.8858846529345,1811.8858846529345,1811.8858846529345,1811.8858846529345,1811.8858846529345,1811.8858846529345,1811.8858846529345,0.0
18,55725.21208428068,9030.797451236334,1750.62581911984,4304.923916296204,1822.7763980071572,1822.7763980071572,1822.7763980071572,1822.7763980071572,1822.7763980071572,1822.7763980071572,1822.7763980071572,0.0
19,56222.35993789579,9113.267953584205,1755.9202458339669,4460.2906632927325,1830.1838638183792,1830.1838638183792,1830.1838638183792,1830.1838638183792,1830.1838638183792,1830.1838638183792,1830.1838638183792,0.0
20,56336.20657417683,9132.153661762246,1757.1326671851941,4495.869578914836,1831.8801701784328,1831.8801701784328,1831.8801701784328,1831.8801701784328,1831.8801701784328,1831.8801701784328,1831.8801701784328,0.0
21,56420.08002825054,9146.06720044256,1758.0258860789797,4522.08139019801,1833.1298783668565,1833.1298783668565,1833.1298783668565,1833.1298783668565,1833.1298783668565,1833.1298783668565,1833.1298783668565,0.0
22,58445.07079098262,9481.987398504218,1779.5912315030987,5154.923763379176,1863.3020891767842,1863.3020891767842,1863.3020891767842,1863.3020891767842,1863.3020891767842,1863.3020891767842,1863.3020891767842,0.0
23,57462.55151546633,9318.999953966184,1769.127792384109,4847.870594813078,1848.6626255055037,1848.6626255055037,1848.6626255055037,1848.6626255055037,1848.6626255055037,1848.6626255055037,1848.6626255055037,0.0
24,57037.138152549516,9248.429290751757,1764.5973094366414,4714.922036663594,1842.3239982369184,1842.3239982369184,1842.3239982369184,1842.3239982369184,1842.3239982369184,1842.3239982369184,1842.3239982369184,0.0
25,58073.72727119323,9420.386234186675,1775.6365708583944,5038.872905936297,1857.769098524091,1857.769098524091,1857.769098524091,1857.769098524091,1857.769098524091,1857.769098524091,1857.769098524091,0.0
26,57804.09727159429,9375.65804849044,1772.7651187090466,4954.6091690505,1853.7516317097718,1853.7516317097718,1853.7516317097718,1853.7516317097718,1853.7516317097718,1853.7516317097718,1853.7516317097718,0.0
27,57025.186302289716,9246.446630889615,1764.470026989702,4711.186890103164,1842.1459165625504,1842.1459165625504,1842.1459165625504,1842.1459165625504,1842.1459165625504,1842.1459165625504,1842.1459165625504,0.0
28,56959.340027448394,9235.523571835025,1763.7687903776746,4690.608863969601,1841.1648119954953,1841.1648119954953,1841.1648119954953,1841.1648119954953,1841.1648119954953,1841.1648119954953,1841.1648119954953,0.0
29,57396.70524062501,9308.076894911594,1768.4265557720814,4827.292568679515,1847.6815209384488,1847.6815209384488,1847.6815209384488,1847.6815209384488,1847.6815209384488,1847.6815209384488,1847.6815209384488,0.0
30,58385.11273199825,9472.04111952848,1778.9527020457035,5136.18589995909,1862.4087185853102,1862.4087185853102,1862.4087185853102,1862.4087185853102,1862.4087185853102,1862.4087185853102,1862.4087185853102,0.0
31,59092.113792058655,9589.32359829143,1786.4819818607136,5357.135168925915,1872.9429814666898,1872.9429814666898,1872.9429814666898,1872.9429814666898,1872.9429814666898,1872.9429814666898,1872.9429814666898,0.0
32,58660.81221328489,9517.77615499815,1781.888791758614,5222.346448062951,1866.5166202225232,1866.5166202225232,1866.5166202225232,1866.5166202225232,1866.5166202225232,1866.5166202225232,1866.5166202225232,0.0
33,58397.2458480888,9474.053849085205,1779.0819149015738,5139.977695024107,1862.5895011069904,1862.5895011069904,1862.5895011069904,1862.5895011069904,1862.5895011069904,1862.5895011069904,1862.5895011069904,0.0
34,56558.0174781668,9168.94926802961,1759.4948650042727,4565.189074816677,1835.1851360470653,1835.1851360470653,1835.1851360470653,1835.1851360470653,1835.1851360470653,1835.1851360470653,1835.1851360470653,0.0
35,57492.53054495853,9323.973093454053,1769.4470571128065,4857.23952652312,1849.1093108012406,1849.1093108012406,1849.1093108012406,1849.1093108012406,1849.1093108012406,1849.1093108012406,1849.1093108012406,0.0
36,58654.74273159718,9516.769305224714,1781.8241541950508,5220.449636844887,1866.42618539963,1866.42618539963,1866.42618539963,1866.42618539963,1866.42618539963,1866.42618539963,1866.42618539963,0.0
37,59463.63273039394,9650.95386231341,1790.4385106430932,5473.240847502264,1878.4785858425878,1878.4785858425878,1878.4785858425878,1878.4785858425878,1878.4785858425878,1878.4785858425878,1878.4785858425878,0.0
38,59427.59006649891,9644.974843042253,1790.0546706220885,5461.9769319452735,1877.9415528480645,1877.9415528480645,1877.9415528480645,1877.9415528480645,1877.9415528480645,1877.9415528480645,1877.9415528480645,0.0
39,58852.462821951915,9549.568552083067,1783.929794440064,5282.240363750165,1869.3721999481074,1869.3721999481074,1869.3721999481074,1869.3721999481074,1869.3721999481074,1869.3721999481074,1869.3721999481074,0.0
40,58966.30945823296,9568.454260261104,1785.1422157912912,5317.8192793722665,1871.0685063081612,1871.0685063081612,1871.0685063081612,1871.0685063081612,1871.0685063081612,1871.0685063081612,1871.0685063081612,0.0
41,60745.58561645545,9863.61353233111,1804.0907985024528,5873.871863530728,1897.5795879007196,1897.5795879007196,1897.5795879007196,1897.5795879007196,1897.5795879007196,1897.5795879007196,1897.5795879007196,0.0
42,60182.41022216827,9770.189901234065,1798.0932047673678,5697.87044189605,1889.1883166751306,1889.1883166751306,1889.1883166751306,1889.1883166751306,1889.1883166751306,1889.1883166751306,1889.1883166751306,0.0
43,60523.95597829623,9826.847995758324,1801.7305310923052,5804.609016133473,1894.2773228793988,1894.2773228793988,1894.2773228793988,1894.2773228793988,1894.2773228793988,1894.2773228793988,1894.2773228793988,0.0
44,59882.98245890792,9720.518645744549,1794.9044182982536,5604.294421804803,1884.7268654123866,1884.7268654123866,1884.7268654123866,1884.7268654123866,1884.7268654123866,1884.7268654123866,1884.7268654123866,0.0
45,60218.458733348154,9776.169890495372,1798.4771070596285,5709.136184824156,1889.7254367937605,1889.7254367937605,1889.7254367937605,1889.7254367937605,1889.7254367937605,1889.7254367937605,1889.7254367937605,0.0
