,onDE,onBE,onDKW,onUK,onNL_NE,onNL_SE,onNL_NW,onNL_SW,onNL_CE,onNL_W,onNL_E,onNOS
0,67726.55006813482,9524.451957137968,3154.865257140263,5941.29272084339,3317.5226443181587,3317.5226443181587,3317.5226443181587,3317.5226443181587,3317.5226443181587,3317.5226443181587,3317.5226443181587,0.0
1,67180.96274344939,9461.613787401042,3136.044672784937,5812.08113662545,3298.7225145343014,3298.7225145343014,3298.7225145343014,3298.7225145343014,3298.7225145343014,3298.7225145343014,3298.7225145343014,0.0
2,67473.65970670183,9495.325240409862,3146.1415493768127,5881.400632527291,3308.808417647354,3308.808417647354,3308.808417647354,3308.808417647354,3308.808417647354,3308.808417647354,3308.808417647354,0.0
3,68066.57668743699,9563.614616261513,3166.5948178944873,6021.821311168751,3329.239457161148,3329.239457161148,3329.239457161148,3329.239457161148,3329.239457161148,3329.239457161148,3329.239457161148,0.0
4,68485.48349483772,9611.862322680603,3181.0454301961036,6121.031116409612,3343.6743642606025,3343.6743642606025,3343.6743642606025,3343.6743642606025,3343.6743642606025,3343.6743642606025,3343.6743642606025,0.0
5,69173.29126626406,9691.08077137199,3204.7720521256756,6283.924805031592,3367.3751996431247,3367.3751996431247,3367.3751996431247,3367.3751996431247,3367.3751996431247,3367.3751996431247,3367.3751996431247,0.0
6,70066.67517497977,9793.976508050771,3235.590229995494,6495.505142288372,3398.1598837271026,3398.1598837271026,3398.1598837271026,3398.1598837271026,3398.1598837271026,3398.1598837271026,3398.1598837271026,0.0
7,71031.16930706591,9905.062384206787,3268.861426652436,6723.926531747172,3431.394920610414,3431.394920610414,3431.394920610414,3431.394920610414,3431.394920610414,3431.394920610414,3431.394920610414,0.0
8,72217.01098448932,10041.6420245971,3309.768229857359,7004.769716401209,3472.257265518296,3472.257265518296,3472.257265518296,3472.257265518296,3472.257265518296,3472.257265518296,3472.257265518296,0.0
9,72620.13866788911,10088.072366082279,3323.6745253816675,7100.242547710524,3486.1484474143404,3486.1484474143404,3486.1484474143404,3486.1484474143404,3486.1484474143404,3486.1484474143404,3486.1484474143404,0.0
10,68525.04318615937,9616.418620977018,3182.410081598185,6130.400048119656,3345.037532533409,3345.037532533409,3345.037532533409,3345.037532533409,3345.037532533409,3345.037532533409,3345.037532533409,0.0
11,66682.94426935844,9404.254373076134,3118.8650238487317,5694.135295335621,3281.5615367695314,3281.5615367695314,3281.5615367695314,3281.5615367695314,3281.5615367695314,3281.5615367695314,3281.5615367695314,0.0
12,63860.803575062106,9079.213544695598,3021.512437752227,5025.767000294706,3184.3147553277827,3184.3147553277827,3184.3147553277827,3184.3147553277827,3184.3147553277827,3184.3147553277827,3184.3147553277827,0.0
13,60848.64596281524,8732.287465681817,2917.605026659945,4312.39695047374,3080.5202727995807,3080.5202727995807,3080.5202727995807,3080.5202727995807,3080.5202727995807,3080.5202727995807,3080.5202727995807,0.0
14,58983.00181526182,8517.41138937221,2853.247752457703,3870.5559747302336,3016.232943315307,3016.232943315307,3016.232943315307,3016.232943315307,3016.232943315307,3016.232943315307,3016.232943315307,0.0
15,58619.19462863892,8475.509796886161,2840.697857078704,3784.395426626374,3003.6966874029226,3003.6966874029226,3003.6966874029226,3003.6966874029226,3003.6966874029226,3003.6966874029226,3003.6966874029226,0.0
16,58951.44356725997,8513.776659504385,2852.159118903088,3863.0820268671428,3015.1454929084853,3015.1454929084853,3015.1454929084853,3015.1454929084853,3015.1454929084853,3015.1454929084853,3015.1454929084853,0.0
17,59852.59744070375,8617.56730400148,2883.2453295331748,4076.5025268374034,3046.197918449595,3046.197918449595,3046.197918449595,3046.197918449595,3046.197918449595,3046.197918449595,3046.197918449595,0.0
18,60817.091572789905,8728.653180157495,2916.516526190116,4304.923916296204,3079.4329553329057,3079.4329553329057,3079.4329553329057,3079.4329553329057,3079.4329553329057,3079.4329553329057,3079.4329553329057,0.0
19,61473.11733357574,8804.211127057788,2939.1467956474485,4460.2906632927325,3102.038629780049,3102.038629780049,3102.038629780049,3102.038629780049,3102.038629780049,3102.038629780049,3102.038629780049,0.0
20,61623.34693958948,8821.51386312785,2944.329117238734,4495.869578914836,3107.2153191249936,3107.2153191249936,3107.2153191249936,3107.2153191249936,3107.2153191249936,3107.2153191249936,3107.2153191249936,0.0
21,61734.02457023462,8834.261189588502,2948.147053597511,4522.08139019801,3111.0291060774266,3111.0291060774266,3111.0291060774266,3111.0291060774266,3111.0291060774266,3111.0291060774266,3111.0291060774266,0.0
22,64406.15942115585,9142.025053822244,3040.325037020355,5154.923763379176,3203.1069087027868,3203.1069087027868,3203.1069087027868,3203.1069087027868,3203.1069087027868,3203.1069087027868,3203.1069087027868,0.0
23,63109.64782904036,8992.698975658286,2995.6005636262275,4847.870594813078,3158.4310427227656,3158.4310427227656,3158.4310427227656,3158.4310427227656,3158.4310427227656,3158.4310427227656,3158.4310427227656,0.0
24,62548.28138035399,8928.043440987449,2976.235662493594,4714.922036663594,3139.0871877354984,3139.0871877354984,3139.0871877354984,3139.0871877354984,3139.0871877354984,3139.0871877354984,3139.0871877354984,0.0
25,63916.142390384695,9085.587207925926,3023.421405931616,5038.872905936297,3186.221648804,3186.221648804,3186.221648804,3186.221648804,3186.221648804,3186.221648804,3186.221648804,0.0
26,63560.34436303463,9044.608072555477,3011.1477945696565,4954.6091690505,3173.961376637894,3173.961376637894,3173.961376637894,3173.961376637894,3173.961376637894,3173.961376637894,3173.961376637894,0.0
27,62532.50997230612,8926.226964740545,2975.69161188586,4711.186890103164,3138.5437284123827,3138.5437284123827,3138.5437284123827,3138.5437284123827,3138.5437284123827,3138.5437284123827,3138.5437284123827,0.0
28,62445.620624934745,8916.219460329403,2972.6942763214292,4690.608863969601,3135.5496504096386,3135.5496504096386,3135.5496504096386,3135.5496504096386,3135.5496504096386,3135.5496504096386,3135.5496504096386,0.0
29,63022.758481668985,8982.691471247144,2992.603228061797,4827.292568679515,3155.436964720022,3155.436964720022,3155.436964720022,3155.436964720022,3155.436964720022,3155.436964720022,3155.436964720022,0.0
