,onDE,onBE,onDKW,onUK,onNL,onNL_CE,onNL_E,onNL_NE,onNL_NW,onNL_SE,onNL_SW,onNL_W,onNOS
0,92565.140625,17108.373046875,4811.73828125,74321.265625,29832.732421875,4734.94255184058,4786.049719543267,3510.7131866847794,7523.304440382084,2503.3575165987204,871.9939850079136,5902.37102181766,14913.3212890625
1,88073.59375,16446.98828125,4782.26806640625,71198.984375,29455.890625,4676.665714904486,4722.064123314007,3468.7659849471747,7426.3064957168845,2474.3218581325173,861.9245303716996,5825.841917613229,14737.79296875
2,83607.703125,15922.712890625,4712.591796875,66246.96875,29211.806640625,4638.911870902091,4680.637043138867,3441.5848324584513,7363.48947421443,2455.5027344079645,855.3978971460294,5776.282788357165,14628.890625
3,80711.2109375,15532.435546875,4688.17626953125,60650.99609375,28993.361328125,4605.118687745997,4643.573019497894,3417.2509514101034,7307.277201443991,2438.6519206456055,849.5537321786552,5731.935815202757,14601.9599609375
4,79320.75,15115.5625,4732.58349609375,54400.046875,28763.1015625,4569.492615579028,4604.516399863764,3391.5928419511774,7248.031402048158,2420.88096026298,843.3902793342542,5685.1970634606405,14667.1875
5,78282.796875,15047.5771484375,4881.5380859375,52988.1875,29110.6875,4623.269475417528,4663.4786044149305,3430.3215176462622,7337.467845593919,2447.7034313157396,852.6929774485258,5755.753648163097,14980.6630859375
6,77139.34375,15344.5009765625,5129.634765625,55103.4296875,30529.39453125,4842.642698509959,4904.420465140945,3588.204987705777,7702.668535696392,2556.975617014366,890.5874162644708,6043.894810918093,15530.923828125
7,74793.4765625,15989.619140625,5299.6455078125,59388.3359375,31833.88671875,5044.192571014481,5126.338631120938,3733.123796030957,8038.676306214856,2657.1768772358414,925.3310175900775,6309.047519542849,16124.5615234375
8,77896.890625,16702.08203125,5417.9130859375,65020.6953125,32700.2578125,5177.971131702923,5273.90753736431,3829.2462291937836,8261.935971782994,2723.590706136209,948.3567013869886,6485.249534932792,16943.111328125
9,83212.140625,17106.546875,5456.7392578125,71002.8046875,32989.78125,5222.663722127922,5323.2529973932205,3861.347322669453,8336.56200763562,2745.7621549958258,956.0431181802766,6544.149926997681,18140.607421875
10,88825.046875,17554.671875,5442.1044921875,74916.109375,33156.11328125,5248.336774167976,5351.608928987647,3879.784850437436,8379.438676023874,2758.494712627663,960.457157740246,6577.992181265161,19126.173828125
11,92671.796875,17385.41015625,5390.73681640625,80234.9921875,32995.6640625,5223.571760447747,5324.255802323503,3861.9994764940066,8338.078417778486,2746.212540551335,956.1992560585339,6545.346808846392,19531.64453125
12,95244.8125,17029.74609375,5377.525390625,82854.421875,32953.96484375,5217.135241912951,5317.147740873481,3857.376714554051,8327.329702135683,2743.019968236167,955.0924658934998,6536.863010144166,19631.81640625
13,94322.2109375,16730.923828125,5378.2958984375,80843.71875,32922.62109375,5212.297061061429,5311.805081743289,3853.9018164865065,8319.250407517662,2740.620079550968,954.2604777578256,6530.486169632319,19711.5546875
14,90528.140625,16703.306640625,5384.06787109375,76823.5546875,33011.76171875,5226.056491608375,5326.999897236028,3863.7840006616516,8342.227921645714,2747.4449468119224,956.6265013343609,6548.621959451948,19899.626953125
15,88473.1875,16834.30078125,5611.1025390625,77227.828125,33561.30859375,5310.8690425024415,5420.706249883267,3924.6859024998175,8483.9003479334,2789.4970135444446,971.2045487246957,6660.445488661935,20117.09375
16,88055.2890625,17751.279296875,5845.96484375,80856.1015625,34819.2109375,5504.918838169064,5635.392737264199,4063.9570000815056,8808.294089893641,2885.610905385464,1004.5213354193477,6916.516031286785,19779.306640625
17,90755.9765625,18635.357421875,5741.109375,83708.0234375,34544.1171875,5462.491357711424,5588.420004220114,4033.51470487858,8737.339144537078,2864.607952074295,997.2412113591727,6860.5028127193345,18709.84765625
18,97875.125,18880.732421875,5596.083984375,83243.03125,34144.2421875,5400.809353195145,5520.162776662698,3989.2488860241356,8634.21168040601,2834.0619459885343,986.6529310626105,6779.094614160866,17550.69921875
19,101105.0,18615.50390625,5391.3896484375,79942.46875,33548.125,5308.834664552941,5418.457620345335,3923.2252915575673,8480.501290317414,2788.4886417503203,970.854988476089,6657.762503000338,16881.37890625
20,99537.703125,18074.580078125,5190.66552734375,76272.703125,32820.5546875,5196.541687666955,5294.408711494243,3842.5854755777186,8292.942033117006,2732.804286739973,951.5508988786626,6509.721594025443,16514.02734375
21,95434.9140625,18312.63671875,5001.4052734375,82156.5859375,31880.517578125,5051.394533387383,5134.277642564697,3738.2998726465366,8050.6908398451515,2660.754133417691,926.5713027890895,6318.529253474452,16099.408203125
22,95778.46875,18356.310546875,4976.65869140625,78036.34375,31072.62890625,4926.592955874359,4996.792965211147,3648.5823879644104,7842.5702539728445,2598.7333340978153,905.0669850964732,6154.290024032948,15625.37109375
23,94939.71875,17698.41796875,4866.67529296875,73812.9296875,30348.966796875,4814.753885016668,4873.753807522058,3568.1422399139633,7656.209690011942,2543.0964188031717,885.7745904635017,6007.236165143693,15232.9267578125
24,102982.3671875,18522.822265625,5011.126953125,74275.8046875,28263.45703125,4492.168219608376,4519.809995259864,3335.8874997682983,7119.497005547355,2382.287788029744,830.0045237614361,5583.801999274935,14532.8603515625
25,98037.15625,17777.177734375,4971.21484375,70951.71875,27854.833984375,4428.910587662243,4450.5798842938075,3290.299461300363,7014.403159472122,2350.6921648153893,819.0451976973405,5500.903529133733,14350.822265625
26,93619.8515625,17208.6796875,4906.8525390625,66084.9921875,27655.25390625,4398.007653871478,4416.781575547456,3268.0230175789106,6963.081542644071,2335.249109620844,813.68837903556,5460.422627951679,14307.43359375
27,90921.96875,16836.80078125,4907.79052734375,60713.97265625,27699.572265625,4404.870276227062,4424.285892629404,3272.970271581813,6974.4774361257805,2338.6790008062426,814.8781364043124,5469.411251850383,14450.5302734375
28,90154.7890625,16663.900390625,5073.8349609375,55143.8671875,28286.533203125,4495.740036128742,4523.720851835448,3338.4611610588927,7125.432652513486,2384.0711907715577,830.623101923531,5588.484208893346,15023.392578125
