,onDE,onBE,onDKW,onUK,onNL,onNL_CE,onNL_E,onNL_NE,onNL_NW,onNL_SE,onNL_SW,onNL_W,onNOS
0,66799.265625,10562.0888671875,3086.931640625,39511.30859375,17687.6640625,2815.103730775516,2819.720775909527,2093.6546934178186,4450.5587378451455,1497.346628534303,521.796317307228,3489.4831787104636,14131.3271484375
1,63112.87109375,10215.44921875,3063.46630859375,38435.234375,17417.1171875,2773.177532112641,2773.9844579089186,2063.40277661495,4381.032700464026,1476.353685091733,514.5132830880827,3434.6527522196466,13971.4951171875
2,60552.515625,9985.318359375,3059.3076171875,36863.75,17277.013671875,2751.460696965672,2750.3117909220464,2047.728555238275,4345.035126479247,1465.473614577383,510.7385208547363,3406.2653668376392,13874.8916015625
3,59169.640625,9857.51953125,3086.740234375,35493.8828125,17151.263671875,2731.9656417087795,2729.071495500761,2033.6553054061492,4312.729446272143,1455.7029809275036,507.3485726595181,3380.790229400145,13857.3818359375
4,58717.62890625,9740.7109375,3155.4404296875,34412.984375,17005.69921875,2709.395034456621,2704.492901806335,2017.3587245566298,4275.33810797908,1444.3865283505804,503.42218197082286,3351.30573962993,13936.8984375
5,58707.484375,9850.0576171875,3314.796875,34276.57421875,17277.90625,2751.5990630641463,2750.462579521919,2047.8284312277472,4345.2644468604785,1465.5429491578686,510.7625763481683,3406.4462038196707,14250.771484375
6,57941.859375,10110.7607421875,3514.38818359375,36123.4296875,18292.5234375,2908.791375550337,2922.0798276385635,2161.2160674407824,4606.0569510646665,1544.2021430028615,538.0503379237555,3612.126734879035,14762.5791015625
7,56400.3828125,10556.314453125,3652.391357421875,39368.515625,19226.78515625,3053.382333590595,3080.4551742163076,2265.385804597314,4846.390023261041,1616.375338109609,563.0832557907828,3801.71322668435,15268.2041015625
8,58380.953125,11040.216796875,3712.446044921875,43462.30859375,19822.08203125,3145.443754390397,3181.529707962874,2331.652162216832,4999.615702548595,1662.245519576169,578.9909062399497,3922.6042783151847,15828.6171875
9,62713.93359375,11351.0712890625,3744.62548828125,47694.0859375,20030.234375,3177.622013730333,3216.899329871435,2354.8040766791323,5053.208264384082,1678.2642090332256,584.545761443935,3964.8907198578563,16499.115234375
10,67202.8515625,11680.69140625,3733.2294921875,50242.1796875,20149.23046875,3196.014889021902,3237.1256277614957,2368.0352533829746,5083.8494365758725,1687.4171469538608,587.7196705066639,3989.0684445472275,16977.078125
11,70371.765625,11653.634765625,3696.213623046875,51680.34765625,20038.671875,3178.926238040038,3218.333340352904,2355.7423437575108,5055.3808147888685,1678.9133136738494,584.7708495965958,3966.6049747902375,17161.5234375
12,72412.296875,11441.646484375,3685.74755859375,52466.98046875,20010.20703125,3174.526252626058,3213.495638194605,2352.5769332792743,5048.05152556848,1676.72341996327,584.0114651818964,3960.8217964364158,17216.953125
13,71570.0703125,11239.57421875,3684.6123046875,52305.5,19984.546875,3170.559707866458,3209.134826062669,2349.723264006004,5041.444527523652,1674.7491363767515,583.3268443211545,3955.608568843311,17286.162109375
14,69135.3046875,11213.455078125,3720.146484375,52016.1875,20067.775390625,3183.4248300788317,3223.279855774766,2358.9785945473423,5062.8747024619115,1681.1521455919965,585.5472005032309,3972.5180616669204,17460.951171875
15,67421.2578125,11347.6357421875,3901.04345703125,52817.60546875,20456.77734375,3243.5425106939165,3289.4214293231025,2402.2173290230667,5163.05344152284,1711.0578691477128,595.9171363791262,4051.5676276602335,17695.5078125
16,76574.859375,12040.0048828125,4088.064697265625,55518.97265625,21352.90625,3381.95744790088,3441.9637516939574,2501.7060909929733,5393.928531032028,1779.8226468577857,619.7592098017625,4233.768571720614,17572.033203125
17,69066.671875,12428.3955078125,3996.974365234375,57240.58984375,21149.4140625,3350.535269177327,3407.303943436552,2479.1282932295144,5341.490127613435,1764.2227171258185,614.3506982077824,4192.383013709573,17016.4609375
18,73874.71875,12332.431640625,3834.898681640625,56413.3828125,20832.015625,3301.5139021562695,3353.2669589411835,2443.8961522170043,5259.7122524380775,1739.873091691399,605.9083279727389,4127.844939583329,16377.630859375
19,76400.5546875,11982.5517578125,3667.4384765625,53862.453125,20404.59765625,3235.4796781591685,3280.5466295645874,2396.4192665514665,5149.614203541185,1707.0484066042443,594.5268761240073,4040.9625957053413,15947.3271484375
20,75052.671875,11529.8828125,3503.95458984375,50334.86328125,19884.671875,3155.120158005698,3192.1636077432613,2338.614774617154,5015.729758985446,1667.0633031944624,580.6616057398126,3935.3186667141645,15639.544921875
21,71549.5703125,11608.1171875,3345.2646484375,46746.60546875,19209.15625,3050.6552588145437,3077.463832551639,2263.422163552341,4841.85347957759,1615.0156044887758,562.6116786545241,3798.1342323605854,15252.6015625
22,69491.65625,11553.892578125,3219.718505859375,42972.46484375,18556.9609375,2949.731170984069,2966.8745428556877,2190.722842040025,4674.063756218638,1564.6541991922613,545.1444789402249,3665.7699472690933,14809.330078125
23,68731.53125,11008.1240234375,3133.18310546875,39828.21875,18039.5625,2869.617478911957,2879.2542372492644,2132.9728597651338,4541.01557559374,1524.6193544495652,531.2573742834591,3560.8256197468795,14444.560546875
24,75019.859375,10951.16015625,3246.792724609375,41103.5546875,18628.6875,2960.833799284921,2979.0292714645016,2198.723246398412,4692.512575941222,1570.1983441821676,547.0674973694885,3680.3227653592844,13746.919921875
25,70946.6875,10535.6787109375,3215.074462890625,39991.8984375,18356.927734375,2918.763406507932,2932.9872351590584,2168.404160376622,4622.618791171061,1549.1850696748836,539.7787835448128,3625.190287940631,13582.4345703125
26,68404.6328125,10276.673828125,3215.167724609375,38471.7421875,18253.19140625,2902.701066460188,2915.4193985903257,2156.825732140674,4595.942985540911,1541.158472646649,536.9945584101051,3604.149192461146,13548.244140625
27,67166.296875,10178.1103515625,3262.9140625,37254.0078125,18296.896484375,2909.4684974830107,2922.8203896645364,2161.7041724825644,4607.181470847957,1544.5405200754078,538.1677126766809,3613.0137211448455,13692.046875
28,67207.4375,10288.7001953125,3428.896484375,36598.80859375,18659.4296875,2965.592160631339,2984.23940213713,2202.1518436919223,4700.4201117019265,1572.5741515892878,547.891551783531,3686.5604659648643,14255.78515625
29,68103.3515625,11034.216796875,3861.76025390625,37960.796875,19676.751953125,3122.973534338774,3156.8433581729873,2315.481994607102,4962.202538604684,1651.0552603495262,575.1103065781159,3893.084960473812,15467.4599609375
30,70085.25,11731.73828125,4330.24462890625,41975.7421875,21133.94140625,3348.1458531575936,3404.669048373473,2477.4112462850826,5337.503210842075,1763.0362110742853,613.9393286443899,4189.236507873101,16737.2109375
31,75810.5,12056.3828125,4516.34375,46488.6796875,22164.35546875,3507.207453548922,3580.288074910445,2591.6600681980435,5603.096480547589,1841.9455016315428,641.2956893856233,4398.862200527832,17328.951171875
32,81974.8828125,12339.583984375,4531.9658203125,50141.1015625,22707.685546875,3591.0300396032226,3673.00456357198,2651.8252829229696,5743.205309275162,1883.4704058826828,655.6900158286523,4509.459929790334,17663.556640625
33,85429.734375,12416.25390625,4571.93359375,53328.546875,22910.84765625,3622.3646920503197,3707.6922472437163,2674.309278827824,5795.605476587501,1898.9834008596938,661.0672255421862,4550.825335138762,18050.71875
34,87159.71875,12653.6552734375,4540.70654296875,55065.9375,22979.9453125,3633.020944680418,3719.492221041891,2681.954759130144,5813.4286346656245,1904.2578450374267,662.8954537431654,4564.8954542013325,18262.935546875
35,88878.578125,12442.837890625,4449.96142578125,56081.12109375,22936.240234375,3626.280798800396,3712.0284636771567,2677.118995296578,5802.155202654247,1900.9217965394148,661.7391142648127,4555.995863142399,18247.84375
36,90351.46875,12341.798828125,4433.13623046875,56524.2265625,22946.40234375,3627.848005462678,3713.7638615918395,2678.2434137553496,5804.776427515217,1901.6975100940385,662.0079922897528,4558.065133041121,18143.13671875
37,89656.15625,12167.2216796875,4367.34912109375,56251.859375,22932.490234375,3625.7024687589173,3711.388077200518,2676.704060453979,5801.187927376255,1900.6355397019656,661.6398917603301,4555.232269123034,18090.2421875
38,88291.7890625,12136.447265625,4300.77490234375,56070.0,23002.28125,3636.465488671406,3723.306831977562,2684.426004699607,5819.190140074843,1905.9626358831879,663.486365010103,4569.443783683289,18160.568359375
39,86874.75,12185.865234375,4407.69580078125,57223.71484375,23351.71484375,3690.346713183828,3782.999971245289,2723.0766730355217,5909.334458668969,1932.6217098077373,672.7266642743979,4640.608653534257,18348.6328125
40,86439.859375,12893.271484375,4648.201171875,60226.234375,23968.94140625,3785.49021070598,3888.509429834671,2791.3003865636083,6068.600856896321,1979.6602251049296,689.0297124811558,4766.350584663338,18281.16015625
41,87675.46875,13324.900390625,4560.2412109375,61628.640625,23554.70703125,3721.6415099454957,3817.690037881211,2745.520517167241,5961.70827932199,1948.0987216051167,678.0909659311546,4681.95699939779,17848.587890625
42,91735.203125,13085.3203125,4357.33056640625,60237.05859375,23043.298828125,3642.790890924538,3730.3122754624874,2688.9639703704793,5829.77070877264,1909.0930721202049,664.5714263167491,4577.7964841579,17275.580078125
43,92909.1484375,12500.4765625,4154.19384765625,57339.89453125,22391.154296875,3542.2009789813414,3618.980940565166,2616.780700746182,5661.576103383851,1859.285714077226,647.3066837518236,4445.023175369412,16762.201171875
44,91016.328125,11844.263671875,3980.450927734375,53785.14453125,21602.138671875,3420.4356673732664,3484.4301898424874,2529.348016821566,5458.1627143697215,1798.9174019209686,626.3791609723559,4284.465520574634,16261.4873046875
45,86369.9609375,12130.626953125,3762.847412109375,49885.640625,20697.708984375,3280.7666956267476,3330.4102521663226,2428.981638260403,5225.113062359553,1729.5630226704286,602.3335530702149,4100.540760221328,15561.5615234375
46,82975.125,12209.13671875,3556.252685546875,45443.5703125,19800.94140625,3142.175283216573,3177.938244119775,2329.3002422592026,4994.173108168796,1660.6180312314807,578.4265257338966,3918.3099715202793,14750.7021484375
47,80605.5,11536.94140625,3409.368896484375,41904.69921875,19118.44921875,3036.6227372503977,3062.074025176821,2253.317360951364,4818.5122943029,1608.0180308652098,560.1847858356177,3779.719984367692,14139.2978515625
48,77408.2734375,11216.3408203125,3608.7294921875,40962.5546875,18440.126953125,2931.6445326357666,2947.0800531094096,2177.6883477476513,4644.015124621462,1555.6204399279015,542.011011546762,3642.067443536048,13916.92578125
49,73166.25,10806.0810546875,3582.0693359375,39651.01171875,18166.6953125,2889.306798587305,2900.774370471062,2147.1694072060473,4573.7022670052,1534.4635227611916,534.6722050193001,3586.606741449894,13741.556640625
50,70499.84375,10535.734375,3593.63037109375,38178.38671875,18057.966796875,2872.467960219489,2882.3691937750355,2135.028279494131,4545.747224871639,1526.044725622958,531.7518247846217,3564.557588107124,13707.4169921875
51,69168.9296875,10397.8515625,3677.99951171875,36891.27734375,18089.416015625,2877.338722293126,2887.692331432567,2138.5403668646363,4553.83282703521,1528.48017125029,532.5966582877473,3570.9349384614216,13863.314453125
52,69144.6484375,10436.771484375,3934.3876953125,36046.4296875,18424.119140625,2929.1662486006094,2944.368343636719,2175.9021768318808,4639.898284089795,1554.3824018757184,541.581577779748,3638.8201078105303,14460.1689453125
53,69968.96875,11097.232421875,4417.716796875,37174.0859375,19417.59765625,3082.8967717822184,3112.8398601772997,2286.6352704850856,4895.496684603392,1631.0878413609773,568.185690343258,3840.455537497764,15734.51171875
54,71820.921875,11801.8466796875,4861.9951171875,41089.23046875,20888.208984375,3310.1937573480154,3362.8317069020063,2450.135241472385,5274.189301965847,1744.1856153128074,607.4035725300773,4139.269788843859,17062.1328125
55,77555.53125,12224.931640625,5036.9091796875,46262.6171875,21953.369140625,3474.648430251384,3544.3049897551105,2568.2826290110506,5548.700815693605,1825.8053882631816,635.7005424777564,4355.926345172909,17690.14453125
56,83864.671875,12592.47265625,5081.70849609375,50651.62109375,22550.185546875,3566.734994506608,3646.12025525613,2634.38991228387,5702.586386419839,1871.4388802997585,651.5194763375634,4477.395641771234,18055.52734375
57,87435.28125,12769.728515625,5117.271484375,54106.1015625,22805.9609375,3606.188071451478,3689.782725827361,2662.7023085209066,5768.55207702923,1890.9754240685854,658.2914690491165,4529.4688615533205,18465.896484375
58,89233.953125,13049.44921875,5075.6826171875,56028.296875,22917.12109375,3623.3322036120403,3708.763529176429,2675.003451507779,5797.223630106961,1899.4623076158025,661.2332249026443,4552.102746828342,18682.587890625
59,90981.1328125,12950.0205078125,5007.8134765625,57049.0546875,22897.89453125,3620.367002365056,3705.480340705594,2672.875960075986,5792.264399504766,1897.994552350911,660.7244690022701,4548.18780724542,18663.595703125
60,92554.09375,12861.482421875,4975.2763671875,57511.74609375,22920.9765625,3623.926805464095,3709.421912080547,2675.4300662124538,5798.2181019611035,1899.756626010904,661.3352419090547,4552.887808861843,18559.658203125
61,91884.9375,12689.7880859375,4892.4453125,57285.4140625,22897.357421875,3620.2841665352075,3705.388623514886,2672.816526019743,5792.125860162367,1897.9535484824112,660.7102561515204,4548.078441008863,18516.19921875
62,90485.15625,12665.806640625,4839.98486328125,57067.0234375,22927.25390625,3624.894912695612,3710.493876626961,2676.124660547108,5799.837271713743,1900.2358195593042,661.5013404620042,4554.16602464527,18610.490234375
63,89036.921875,12731.630859375,4995.779296875,58083.8046875,23212.94921875,3668.9511419365544,3759.2913864057596,2707.7302536288535,5873.534775054637,1922.037527671402,669.0581303004692,4612.346003752322,18837.74609375
64,88655.8125,13406.609375,5181.05419921875,60873.62890625,23806.08984375,3760.3908340014254,3860.6629434239862,2773.305705205037,6026.574663149243,1967.2555793554948,684.7305117315767,4733.169606883235,18793.92578125
65,90066.71875,13603.58203125,5042.25732421875,62174.69921875,23325.583984375,3686.31787925515,3778.535075729261,2720.1870361167394,5902.592850999206,1930.6288649451815,672.0359384510787,4635.286338878383,18366.046875
66,94436.375,13162.69921875,4819.22998046875,61122.22265625,22758.271484375,3598.832563136443,3681.640597732888,2657.4242894324307,5756.252050801346,1887.3337327175527,657.0291591798716,4519.759091374469,17781.548828125
67,95538.84375,12600.052734375,4598.1396484375,58829.7890625,22095.306640625,3496.5525281469,3568.5107090116567,2584.0102884489534,5585.293862119997,1836.6643271796815,639.4649304046641,4384.809995313146,17241.3203125
68,93363.0546875,12046.857421875,4389.47119140625,55887.83203125,21327.03515625,3377.962855887685,3437.5566033376144,2498.8360947338024,5387.261380904893,1777.8398204021578,619.0717708762355,4228.506630107615,16696.236328125
