,onDE,onBE,onDKW,onUK,onNL_NE,onNL_SE,onNL_NW,onNL_SW,onNL_CE,onNL_W,onNL_E,onNOS
0,12787.349974185581,810.1157505146716,205.24124790953954,2027.1218885570174,371.26859115870604,371.26859115870604,371.26859115870604,371.26859115870604,371.26859115870604,371.26859115870604,371.26859115870604,0.0
1,12676.64781489003,805.8406708900914,203.31241403436817,2021.3791514806644,369.1995159628417,369.1995159628417,369.1995159628417,369.1995159628417,369.1995159628417,369.1995159628417,369.1995159628417,0.0
2,12736.03736516959,808.1341677643057,204.3471958050162,2024.4600179651907,370.30953446798134,370.30953446798134,370.30953446798134,370.30953446798134,370.30953446798134,370.30953446798134,370.30953446798134,0.0
3,12856.342927781818,812.7801101986722,206.4433558620074,2030.7009370159221,372.5581017688313,372.5581017688313,372.5581017688313,372.5581017688313,372.5581017688313,372.5581017688313,372.5581017688313,0.0
4,12941.341031705146,816.062554412253,207.92433169134918,2035.1102616932938,374.1467561333206,374.1467561333206,374.1467561333206,374.1467561333206,374.1467561333206,374.1467561333206,374.1467561333206,0.0
5,13080.900369013903,821.4520362719134,210.35596246630928,2042.3499811876038,376.7551854992363,376.7551854992363,376.7551854992363,376.7551854992363,376.7551854992363,376.7551854992363,376.7551854992363,0.0
6,13262.172043226183,828.4523589925345,213.51437372092806,2051.75355173235,380.14323797456416,380.14323797456416,380.14323797456416,380.14323797456416,380.14323797456416,380.14323797456416,380.14323797456416,0.0
7,13457.87230644506,836.0098828306956,216.92418342544124,2061.9056134860743,383.8009675349177,383.8009675349177,383.8009675349177,383.8009675349177,383.8009675349177,383.8009675349177,383.8009675349177,0.0
8,13698.484997271624,845.3018281596193,221.11653081790132,2074.3875328040313,388.2981313984541,388.2981313984541,388.2981313984541,388.2981313984541,388.2981313984541,388.2981313984541,388.2981313984541,0.0
9,13780.281444888693,848.4606312832079,222.54172216047726,2078.630769751112,389.82694530733596,389.82694530733596,389.82694530733596,389.82694530733596,389.82694530733596,389.82694530733596,389.82694530733596,0.0
10,12949.367873701334,816.3725338099991,208.06418844618955,2035.5266586581847,374.296781568968,374.296781568968,374.296781568968,374.296781568968,374.296781568968,374.296781568968,374.296781568968,0.0
11,12575.597592576436,801.9383283412092,201.5517519738234,2016.1371140900055,367.3108399888941,367.3108399888941,367.3108399888941,367.3108399888941,367.3108399888941,367.3108399888941,367.3108399888941,0.0
12,12002.972359989566,779.8247717499869,191.57453966450734,1986.4318565326314,356.6082062479536,356.6082062479536,356.6082062479536,356.6082062479536,356.6082062479536,356.6082062479536,356.6082062479536,0.0
13,11391.791827145422,756.222292272361,180.92555392568582,1954.726520985033,345.1849558908689,345.1849558908689,345.1849558908689,345.1849558908689,345.1849558908689,345.1849558908689,345.1849558908689,0.0
14,11013.244111194825,741.6035925316338,174.32987717881312,1935.0891442853215,338.10972181676755,338.10972181676755,338.10972181676755,338.10972181676755,338.10972181676755,338.10972181676755,338.10972181676755,0.0
15,10939.425971908662,738.7528945398793,173.04369695827077,1931.2597865918165,336.7300262266022,336.7300262266022,336.7300262266022,336.7300262266022,336.7300262266022,336.7300262266022,336.7300262266022,0.0
16,11006.840798582303,741.3563103516492,174.21830820528146,1934.7569688247397,337.9900409055528,337.9900409055528,337.9900409055528,337.9900409055528,337.9900409055528,337.9900409055528,337.9900409055528,0.0
17,11189.689034115074,748.4175164843105,177.4041888868798,1944.2423243789735,341.4075600502188,341.4075600502188,341.4075600502188,341.4075600502188,341.4075600502188,341.4075600502188,341.4075600502188,0.0
18,11385.389297333952,755.9750403224716,180.81399859139296,1954.3943861326977,345.0652896105724,345.0652896105724,345.0652896105724,345.0652896105724,345.0652896105724,345.0652896105724,345.0652896105724,0.0
