,onDE,onBE,onDKW,onUK,onNL,onNL_CE,onNL_E,onNL_NE,onNL_NW,onNL_SE,onNL_SW,onNL_W,onNOS
0,71384.96875,12134.6015625,3171.9453125,41699.6484375,19317.109375,3071.2217203110054,3086.886549547773,2281.494882168249,4864.681032368593,1629.8610609240307,567.8824275721793,3815.0817021081693,14131.3271484375
1,67442.5078125,11723.013671875,3147.8505859375,40488.3671875,19032.880859375,3027.2106206709695,3038.756081809921,2249.7683603192227,4791.593803565503,1607.866042443544,560.2528544359357,3757.433096129905,13971.4951171875
2,64658.0078125,11435.107421875,3141.880859375,38735.484375,18894.763671875,3005.8193153565962,3015.3784622054814,2234.3439485114395,4756.0839975053905,1597.169959757259,556.5424786597158,3729.4255098791164,13874.8916015625
3,63139.671875,11255.7587890625,3168.9248046875,37159.55078125,18770.79296875,2986.616334900631,2994.401370787949,2220.495212964576,4724.214638566408,1587.5649368860243,553.2104983543996,3704.289976290011,13857.3818359375
4,62638.15625,11075.306640625,3238.9912109375,35851.14453125,18626.11328125,2964.2023285245873,2969.927512947711,2204.328049054425,4687.0257072931445,1576.3499950189307,549.3199363459948,3674.9597520652087,13936.8984375
5,62599.25,11149.78515625,3402.39990234375,35707.2109375,18920.181640625,3009.7562307417907,3019.6801545364788,2237.18289644167,4762.618636524263,1599.1387726291866,557.2254496230984,3734.5795001285123,14250.771484375
6,61777.171875,11425.060546875,3607.359375,37676.57421875,19989.3046875,3175.257438834438,3200.828654603219,2356.449738796292,5037.594714682864,1681.795031160338,585.8955786399506,3951.483530782898,14762.5791015625
7,60120.24609375,11920.4755859375,3749.087646484375,41104.7421875,20973.6484375,3327.4858972429524,3367.9548300378037,2466.0261645064206,5290.956377181018,1757.645894792463,612.2005009855221,4151.378772753819,15268.2041015625
8,62267.4453125,12461.892578125,3811.994140625,45410.671875,21595.0390625,3423.5163222440497,3473.612388229226,2535.0934250405676,5450.983391754605,1805.4148721016634,628.7645515009254,4277.654111628966,15828.6171875
9,66900.0859375,12797.861328125,3844.93359375,49849.953125,21813.98828125,3457.3412420917875,3510.868227169639,2559.41115156839,5507.384528543916,1822.2266418400602,634.5937159936266,4322.162774042582,16499.115234375
10,71702.5390625,13162.3603515625,3832.962890625,52541.2265625,21939.0859375,3476.6646006663723,3532.160659395692,2573.3010265211033,5539.612996681997,1831.827628660857,637.9225927304759,4347.596432843499,16977.078125
11,75088.5703125,13105.716796875,3794.51611328125,54184.15625,21822.072265625,3458.5900025838832,3512.2440398204344,2560.3088256349174,5509.467102382025,1822.8471690840179,634.80886850683,4323.806257612894,17161.5234375
12,77272.0234375,12859.4375,3783.58154296875,55078.19921875,21790.9921875,3453.7889132932114,3506.9546254555544,2556.8575153097145,5501.460394656695,1820.4613854852882,633.9816555002353,4317.4876977993,17216.953125
13,76378.203125,12630.853515625,3782.431640625,54857.296875,21764.484375,3449.6940293798034,3502.443567056571,2553.913787796824,5494.631694153411,1818.426420971924,633.2760775641163,4312.098798077354,17286.162109375
14,73747.125,12601.244140625,3817.881591796875,54436.875,21858.4765625,3464.213397919089,3518.439914005544,2564.3511305739185,5518.8456052578385,1825.6413971979855,635.7776950004787,4331.207422545145,17460.951171875
15,71916.9921875,12737.73046875,4004.072509765625,55282.36328125,22270.185546875,3527.799126598015,3588.5370539594905,2610.0494204812567,5624.92476645219,1857.2233809347993,646.7275766845158,4414.924221764734,17695.5078125
16,81503.4375,13494.4736328125,4196.748046875,58127.4609375,23216.09765625,3673.8140422482584,3749.7594744807147,2714.9252003885817,5868.740398096628,1929.6574533624043,671.8390253035468,4607.362062369869,17572.033203125
17,73685.6796875,13990.234375,4103.38134765625,59907.31640625,23001.96875,3640.769054376196,3713.242750107429,2691.197985144934,5813.535816750119,1913.2752390344954,666.1599193645106,4563.78798522231,17016.4609375
18,78865.828125,13959.2177734375,3937.949951171875,59008.78125,22660.14453125,3588.0071646070423,3654.9737270997357,2653.3045253856535,5725.423671473582,1887.1056656273458,657.0875618447046,4494.242215211936,16377.630859375
19,81563.40625,13614.3193359375,3765.498046875,56318.77734375,22208.513671875,3518.2756116977494,3578.0338789294888,2603.206083612544,5609.032994456711,1852.4947517419787,645.0881410864212,4402.382210350106,15947.3271484375
20,80115.5234375,13128.59765625,3596.898193359375,52690.6171875,21659.1484375,3433.421040407839,3484.5196483470572,2542.214741634254,5467.497118887639,1810.3384843082304,630.4717409726679,4290.685662942312,15639.544921875
21,76368.640625,13240.595703125,3433.12060546875,49354.40234375,20946.703125,3323.320592063276,3363.3758446987476,2463.0294147479144,5284.018605511288,1755.5725613252225,611.4815294710028,4145.90457718255,15252.6015625
22,74270.8984375,13202.0537109375,3307.67919921875,45409.1171875,20242.4921875,3214.4258623300598,3243.785902511955,2384.6548043176863,5102.74629168773,1701.326982193112,592.6696314249792,4002.8827130344744,14809.330078125
23,73457.890625,12615.759765625,3218.48583984375,42095.2421875,19698.37109375,3130.2380203891726,3151.4939337091146,2324.021576072866,4962.745000416263,1659.3315859307943,578.1044607085968,3892.436516523191,14444.560546875
24,80186.828125,12753.9150390625,3336.514892578125,43674.8125,19465.263671875,3094.157493178662,3111.9861834924304,2298.024467256879,4902.78425418046,1641.317479765532,571.8562408030732,3845.1375531979647,13746.919921875
25,75831.6328125,12268.3154296875,3303.885009765625,42437.8125,19170.64453125,3048.5441114433174,3062.0809111511962,2265.1485023629057,4827.016643857589,1618.529584740906,563.9518459112954,3785.3729317827892,13582.4345703125
26,73067.53125,11947.2490234375,3302.2841796875,40737.1171875,19068.84375,3032.7799728364284,3044.8443002703907,2253.783769911635,4800.8404791080875,1610.6502302049694,561.2186484406149,3764.726349227875,13548.244140625
27,71704.375,11795.1865234375,3350.234375,39319.5234375,19130.884765625,3042.3873963888614,3055.3484506353434,2260.7101500529143,4816.792912296133,1615.452521108798,562.8844775560589,3777.3088575868915,13692.046875
28,71730.625,11851.654296875,3520.51708984375,38453.59765625,19553.0,3107.7383568126115,3126.8537600486625,2307.810711342261,4925.35086639448,1648.0992219909726,574.208529038145,3862.9385543728654,14255.78515625
29,72660.2734375,12613.9443359375,3965.7705078125,39855.40234375,20693.15625,3284.12159094028,3320.3000718556104,2434.823445580055,5218.7425090574,1736.0550636637472,604.7132792961521,4094.400289606755,15467.4599609375
30,74775.1171875,13355.9765625,4447.8232421875,44073.81640625,22292.89453125,3531.3057872479426,3592.404823052987,2612.569114584836,5630.77662331852,1858.9643778183506,647.3311840022357,4419.542621225129,16737.2109375
31,80889.25,13696.365234375,4639.15283203125,48816.54296875,23412.697265625,3704.149455393003,3783.2969488741514,2736.703140571007,5919.43139046611,1944.691142400092,677.0505073683516,4647.374680552286,17328.951171875
32,87510.703125,14002.81640625,4656.36669921875,52654.28515625,23988.52734375,3792.9767392455124,3881.580697098307,2800.4527329867974,6067.93287231545,1988.6843022136154,692.3001427508856,4764.5998571394275,17663.556640625
33,91203.921875,14065.138671875,4697.3369140625,56003.28125,24199.98046875,3825.5868258851638,3917.6916364615063,2823.8490916072756,6122.475745624977,2004.8247691089919,697.8947444702123,4807.657655591874,18050.71875
34,93054.671875,14332.001953125,4664.92578125,57842.953125,24265.15625,3835.6372625142076,3928.824125193465,2831.059087713076,6139.288549086871,2009.7981856074216,699.6185990460872,4820.930440838874,18262.935546875
35,94889.1875,14069.087890625,4571.1591796875,59038.59375,24213.587890625,3827.6851945261806,3920.015800637946,2825.3544518759027,6125.985883585899,2005.8631797908192,698.2546730162957,4810.428707191953,18247.84375
36,96464.671875,13951.90234375,4553.65478515625,59566.3359375,24221.904296875,3828.9676389283136,3921.436273896504,2826.2744640284327,6128.131175504751,2006.4978066877613,698.4746438217991,4812.122294007437,18143.13671875
37,95727.375,13756.833984375,4485.93603515625,59218.734375,24206.9296875,3826.6584509392837,3918.878566135795,2824.6178725833624,6124.268346487495,2005.3550823563485,698.0785589822849,4809.072810015431,18090.2421875
