,onDE,onBE,onDKW,onUK,onNL,onNL_CE,onNL_E,onNL_NE,onNL_NW,onNL_SE,onNL_SW,onNL_W,onNOS
0,52204.09457,12023.3082758841,5190.696058302256,60582.9751663489,20860.17946066698,3300.0145144652206,3371.517290096794,2437.873694708407,5274.46033669217,1732.17275155593,603.0527982930877,4141.08807485537,15960.43417789385
1,50279.61028,11019.6264522757,5175.883434600965,57593.88611528435,20903.7851226293,3306.7419149124835,3378.958119877281,2442.7025039938835,5285.704812305225,1735.5055718547446,604.2081013463255,4149.964098339356,15788.73056824494
2,49092.94489,10206.2870449932,5200.281111771448,53278.05621065913,20784.34131225052,3288.3138027756327,3358.5775881617533,2429.4746707180184,5254.904851549225,1726.3754573785993,601.0431821863649,4125.651759480923,15153.53094176732
3,48286.92069,9585.41895447887,5292.792776913207,48100.23531706447,20699.43395020131,3275.2130208285207,3344.09236868644,2420.0699487752386,5233.011850928471,1719.8834965141648,598.7927355287181,4108.370528939758,14626.08977780178
4,49330.83657,9309.3921524565,5508.530235481174,42299.34330714815,20471.64596574847,3240.0621174688886,3305.241693416716,2394.8323139170498,5174.28326988285,1702.4596358015447,592.7525928730129,4062.014342388408,14166.48664849244
5,50536.76011,9516.52240157544,5767.606790173531,41774.64262524085,19635.62021751445,3110.995035781514,3162.78220969263,2302.1169642635987,4958.810438701796,1638.4154614105198,570.549287664426,3891.9508199999673,13950.70734420881
6,52287.81226,10440.8233915161,5968.187359534807,43526.76295000725,19448.98134080137,3082.1687630980873,3131.0078766351276,2281.3989147944794,4910.723321876524,1624.0965793775206,565.584710340646,3854.0011746789855,14491.07013949352
7,57812.52359,11622.437468174,6085.978744186174,46275.64764331828,20149.10139695491,3190.2778515926425,3250.255181504145,2359.078844281913,5091.13862387257,1677.7690104355743,584.1930060437661,3996.388879224296,15069.62519160547
8,60243.07641,12182.8371326528,6092.195956017194,50278.98562698171,21402.18102816228,3383.6176317141567,3464.0404584057214,2497.8690997652266,5414.245168560572,1773.5716569723884,617.4029856006549,4251.4340271435585,15992.98214183254
9,61823.00047,12401.9666491085,6064.444132098004,54311.15063279188,21446.12677114684,3390.3947247895107,3471.545701572015,2502.7312295033353,5425.580893450237,1776.9257926553614,618.5655890938303,4260.38284008255,16439.82813598324
10,64286.39591,12238.1004226272,5939.710842840062,57324.875321714,21133.40336462673,3342.1632709350156,3418.148520124897,2468.124180300869,5344.920619029889,1753.0492319895468,610.2893920439722,4196.708150202539,16590.2296429769
11,65213.56447,12022.4212182133,5760.283944429305,62269.32518642896,21335.72440782983,3373.3686062668285,3452.69167055212,2490.51572789459,5397.103338010642,1768.4986869969473,615.6445900453394,4237.901788063365,16569.87912526636
12,64494.28353,11615.484025036,5668.702700696433,64668.84619295181,22295.74108211054,3521.3761193317073,3616.7428371576416,2596.6665213954816,5644.791010821644,1841.7015491200289,641.0166897046413,4433.446354579398,16609.36741238627
13,63182.93069,11697.3806583773,5625.638187078087,62852.7182302476,21876.61528751169,3456.7710978228047,3545.0926462817997,2550.3423551368833,5536.6392497589,1809.7633549941881,629.9473119181848,4348.059271598931,16758.17856614834
14,63315.01353,11775.5691990105,5666.252141723472,58956.91667727724,21511.34741547112,3400.452324290632,3482.685290199925,2509.9465713597683,5442.404956346152,1781.903045181394,620.2907811021798,4273.664446991069,16729.80788113123
15,65505.81417,11686.2484869861,5918.866496802504,59280.81975192562,21209.90946429876,3353.9638776614006,3431.209458907654,2476.5922368704014,5364.6523881997755,1758.8922589927893,612.3147606214893,4212.284483045246,17241.18472014017
16,68749.55926,11687.7240849945,6318.028701504972,61410.00591137794,21013.86298622009,3323.7235161939884,3397.744020699463,2454.890745530477,5314.091586606083,1743.9172254391046,607.1239207609096,4172.371970990066,17507.34944860788
17,69707.79376,12673.0590291213,6287.858977503553,62959.43362577289,21930.64408958359,3465.1002781526226,3554.326523871704,2556.315576550426,5550.579559656287,1813.882233437467,631.3748973016549,4359.065020613431,17569.26283524418
18,68482.4851,13330.2295142001,6026.877831209505,63131.18167480817,22799.72743427946,3599.0375129587433,3702.955809613576,2652.33205961542,5774.871334583811,1880.065431487338,654.3123559878594,4536.152930032711,17882.13966953529
19,65918.57064,13237.9263689415,5731.228792460228,61502.19053208162,23514.02619671755,3709.0637431467267,3825.244401766534,2731.1593024725407,5959.289090029286,1934.365827620823,673.1297175434808,4681.774114138165,17655.80026307318
20,63122.82105,12750.4658302487,5428.128980837752,60113.83800346741,23443.19518391805,3698.1555444915434,3813.113055778005,2723.3460747301733,5940.999138167757,1928.984986742026,671.2651006292859,4667.331283379261,17331.03906925337
21,61925.22681,12433.3307066185,5184.1365664461,68175.63561564795,23051.72994249964,3637.860080592247,3746.0859004640984,2680.1508954580677,5839.926158759022,1899.2319540674625,660.9545394165816,4587.520413742166,16839.60842646839
22,58508.8379,13008.1148568736,4982.682975851075,65119.6032866493,22362.54963890184,3531.672431279829,3628.1678038943173,2604.047902379164,5662.032572156933,1846.7896007111858,642.7800898337124,4447.059238646701,17407.44121529883
23,53466.10605,13099.2337794555,4839.944113056014,61752.37392726431,21876.13417073765,3456.696926546674,3545.010423532142,2550.289162449444,5536.51511562543,1809.7266747245462,629.9345986505683,4347.96126920884,16955.77366164606
24,59957.01386,14577.3412144406,5835.041631458515,59588.41439577298,20744.15533873235,3282.113416643892,3351.7215994449098,2425.02366157344,5244.542930456394,1723.3030479528325,599.9781309412305,4117.47255171965,16779.29358121506
25,59326.05117,13595.5571985488,5791.197304359512,56686.78119365842,20739.36648230123,3281.374519955076,3350.904619341679,2424.4932261721956,5243.308144353653,1722.9368950555072,599.8512035624527,4116.497873860667,16605.70588603519
26,58963.67962,12796.3662606722,5810.197706734542,52412.87668973015,20597.52726762884,3259.488169480047,3326.7097268829193,2408.780492507799,5206.73713274212,1712.089824678884,596.0910121482929,4087.6309091887792,16017.39385829172
27,58906.28006,12186.6970441851,5923.055923734072,47309.39764143821,20483.50039827889,3241.891581905257,3307.2631779392286,2396.1459659716143,5177.339391956548,1703.3666664335174,593.0670284734967,4064.4265855992285,15696.11683067646
28,59764.72315,11907.3454723026,6300.670460348208,41636.49277511075,20245.9919325841,3205.2341448280486,3266.769626062931,2369.821148616995,5116.113023053534,1685.1882686400666,586.7651107410993,4016.1006106414275,16003.38996895712
29,66026.85234,12093.1527486332,7111.988983001241,41693.92258999667,19491.95628998424,3088.806643247115,3138.3231739236785,2286.1700564332214,4921.795186404085,1627.3943179722885,566.7281006112349,3862.7388113926118,17068.02471149999
30,72670.26213,12951.4348368263,7892.508725486255,45028.01822538957,20595.98613880863,3259.2503537025814,3326.446872672389,2408.609747442011,5206.339794220322,1711.9719449679733,596.0501481239766,4087.3172776793745,18550.16634171321
31,77389.54016,14071.7294859891,8141.233049892584,49441.65050573161,21404.13708039495,3383.9192889842634,3464.374510704978,2498.085523460495,5414.749722725327,1773.720959485996,617.4547366742989,4251.832338359588,19164.63584109862
32,78880.83011,14612.8810090038,8084.983969849935,53303.08562829451,22517.64817111455,3555.573918883702,3654.6953828818973,2621.1812654986056,5702.061774577138,1858.5986980875518,646.8727908743945,4478.664340311261,19692.7320400984
33,80083.17021,14825.5111256848,8078.668427672739,56412.28097020771,22617.79920254708,3571.0064022568604,3671.827921826374,2632.2426615694776,5727.911316824357,1866.2219221071464,649.5147440358251,4499.074233927042,19688.95021072516
34,81483.79933,14673.5941221936,7912.984743581089,58513.8672497755,22381.46502171461,3534.5875227333063,3631.402727368206,2606.137647304117,5666.914251366712,1848.2300292775694,643.2793061178808,4450.91353754682,19507.05005856339
35,82989.88599,14465.2896077563,7625.444995677069,62877.46561287493,22567.2813159992,3563.222122354117,3663.185683678201,2626.663304572281,5714.872203834017,1862.3768532113845,648.1821765075093,4488.7789718416925,19257.77648279738
36,83066.62821,14077.3258256235,7516.331123193138,64816.92582411266,23405.99274834012,3692.426063807661,3806.7417663914744,2719.2420532072347,5931.392983814281,1926.15850008665,670.2856352465185,4659.745745786295,19073.39525799777
37,81706.55425,14161.1223024017,7362.427682019144,62704.08716392742,22955.15899160444,3622.9834582560047,3729.5561361955542,2669.491476532284,5814.995277436259,1891.888314772384,658.4096152827566,4567.8347131292,18971.14537877336
38,81376.09794,14248.5349790349,7239.766022399268,58658.40491977264,22531.18095086263,3557.6592731547257,3657.010257828893,2622.676015897858,5705.554584328671,1859.6288771693867,647.2298182222897,4481.422124260805,18653.67899054512
39,83035.46852,14163.3389063348,7412.503844586552,58844.50967352996,22260.59176828455,3515.958837393037,3610.7323643521186,2592.7827373154005,5635.720121034917,1839.0243085989755,640.0888145419888,4426.284585048112,18822.25164370689
40,85269.61767,14170.9140570771,7960.946219080378,61143.98017313118,22090.16595170681,3489.690629610328,3581.594079607882,2573.9488448525753,5591.741145074605,1826.0402681171947,635.5887607118879,4391.562223732339,18853.2196528757
41,86313.66831,15114.6027609205,7918.6645014731,62888.63408353509,23001.80276689917,3630.168981656682,3737.539751384728,2674.6401546655247,5827.036748802465,1895.4354850050936,659.6388839814641,4577.342761403215,18784.41566478935
42,85216.05904,15751.7499076304,7544.678911019452,63115.86155459807,23832.54561307551,3758.1109876056835,3879.8109751668953,2766.285555055606,6041.544389429999,1958.5531993240375,681.5111567842491,4746.729349709038,18997.61247390834
43,80419.22792,15674.8199716069,7143.321427018644,61573.36087205935,24230.06521206153,3819.31019782165,3947.940962107745,2810.103776886801,6144.2174091373545,1988.717875795351,691.9634460820204,4827.811544230612,18645.35754594221
44,76089.6647,15221.1312182656,6781.729731179801,60194.18852140667,23597.88680193725,3721.9779346070754,3839.6087404651853,2740.4088516779757,5980.944312692989,1940.7354708661728,675.3369636517198,4698.8745279761315,18177.15005520168
45,73138.49876,14936.243035649,6400.39491952616,68018.66665700472,22978.98511646964,3626.6539248840254,3733.6341884570065,2672.1215164736004,5821.146151945701,1893.7002910893298,659.0375549220524,4572.691488697928,17463.50270867241
46,68547.36195,15498.2283975663,6029.354116146618,64532.95608123905,22100.23233489599,3491.2422748439612,3583.3149670315042,2575.0614224928004,5594.338700913418,1826.807328395032,635.854613857651,4393.6130273616245,17699.87322584446
47,62952.16638,15601.546425616,5760.117598747172,60704.96127315992,21655.11604174862,3422.6210310143197,3507.244634047087,2525.849018515786,5479.493108890735,1792.871772081013,624.0926561606663,4302.9438210390135,17004.67778264137
48,62959.45378,15106.1777447777,5276.437893933181,58780.89761621783,19789.16788581758,3134.706849122307,3188.9310743684973,2319.1561512201883,4998.376209132731,1650.1896268800353,574.6314600976073,3923.1765149962107,16418.62960794209
49,62332.54065,14138.7169192139,5248.865848752534,55824.135450739,19697.05661831135,3120.482818177678,3173.243832552459,2308.9351573882773,4974.640726215621,1643.1270978994899,572.1828518330278,3904.4441342448,16286.9968497298
50,61987.82511,13356.5396159961,5284.659491098005,51559.13279649787,19516.11005115419,3092.537304592843,3142.4349405665935,2288.8514679477626,4928.018191006967,1629.247600328429,567.3706662017651,3867.6498805098317,15725.57002510697
