LinePyHub;length;s_nom;s_nom_max;node0;node1;LineCountry;Type
DE_F-DK_C;131.29671988350114;0;10;DE_F;DK_C;DE-DK;offshore
DE_B-DK_ST1;206.58371355781767;0;10;DE_B;DK_ST1;DE-DK;offshore
DE_C-NL_G;51.02611255918511;0;10;DE_C;NL_G;DE-NL;offshore
DE_A-NL_G;54.90894835819669;0;10;DE_A;NL_G;DE-NL;offshore
NO_ST1-UK_E;270.0496530953109;0;10;NO_ST1;UK_E;NO-UK;offshore
NO_ST1-UK_D;308.66148777078394;0;10;NO_ST1;UK_D;NO-UK;offshore
NO_ST1-UK_C;391.0279389646733;0;10;NO_ST1;UK_C;NO-UK;offshore
DK_A-NO_A;200.87191788762706;0;10;DK_A;NO_A;DK-NO;offshore
DK_B-NO_A;244.67878544228827;0;10;DK_B;NO_A;DK-NO;offshore
DE_F-NO_A;277.24892196242115;0;10;DE_F;NO_A;DE-NO;offshore
NO_C-UK_E;923.6995652956089;0;10;NO_C;UK_E;NO-UK;offshore
DK_A-NO_C;947.2907134659764;0;10;DK_A;NO_C;DK-NO;offshore
DK_B-NO_C;1011.2074398433607;0;10;DK_B;NO_C;DK-NO;offshore
DK_A-NO_B;422.3053667043203;0;10;DK_A;NO_B;DK-NO;offshore
NO_B-UK_E;425.9216193378856;0;10;NO_B;UK_E;NO-UK;offshore
DK_B-NO_B;482.2542401126304;0;10;DK_B;NO_B;DK-NO;offshore
NO_ST2-UK_E;418.10095613464125;0;10;NO_ST2;UK_E;NO-UK;offshore
DK_A-NO_ST2;528.717035663811;0;10;DK_A;NO_ST2;DK-NO;offshore
NO_ST2-UK_D;535.1504991616562;0;10;NO_ST2;UK_D;NO-UK;offshore
DE_I-UK_C;147.23477094588932;0;10;DE_I;UK_C;DE-UK;offshore
DK_A-NO_D;1878.5680349555696;0;10;DK_A;NO_D;DK-NO;offshore
DK_B-NO_D;1936.919577276245;0;10;DK_B;NO_D;DK-NO;offshore
NO_D-UK_E;1955.5405981440845;0;10;NO_D;UK_E;NO-UK;offshore
NL_C-UK_H;69.30336175240272;0;10;NL_C;UK_H;NL-UK;offshore
NL_B-UK_G;31.19886292756538;0;10;NL_B;UK_G;NL-UK;offshore
