LinePyHub;length;s_nom;s_nom_max;node0;node1;LineCountry;Type
UK_E-UK_L;276.2896450917956;0;10;UK_E;UK_L;UK-UK;offshore
UK_D-UK_L;445.2828385407695;0;10;UK_D;UK_L;UK-UK;offshore
UK_C-UK_L;622.1213145671645;0;10;UK_C;UK_L;UK-UK;offshore
DK_A-DK_C;63.65658447506351;0;10;DK_A;DK_C;DK-DK;offshore
DK_B-DK_C;90.14820150157921;0;10;DK_B;DK_C;DK-DK;offshore
NL_A-NL_F;35.40276412618469;0;10;NL_A;NL_F;NL-NL;offshore
NL_B-NL_F;51.29922888254779;0;10;NL_B;NL_F;NL-NL;offshore
NL_D-NL_F;73.44575127987073;0;10;NL_D;NL_F;NL-NL;offshore
DE_B-DE_G;44.42051072291792;0;10;DE_B;DE_G;DE-DE;offshore
DE_F-DE_G;55.673243943848675;0;10;DE_F;DE_G;DE-DE;offshore
DE_C-DE_G;71.19184659706933;0;10;DE_C;DE_G;DE-DE;offshore
DK_A-DK_ST1;183.7991243645218;0;10;DK_A;DK_ST1;DK-DK;offshore
DK_B-DK_ST1;202.27225642062797;0;10;DK_B;DK_ST1;DK-DK;offshore
UK_E-UK_K;155.32579215375893;0;10;UK_E;UK_K;UK-UK;offshore
UK_D-UK_K;337.02715192554734;0;10;UK_D;UK_K;UK-UK;offshore
UK_C-UK_K;618.7500528027332;0;10;UK_C;UK_K;UK-UK;offshore
NL_E-NL_G;21.097119754041138;0;10;NL_E;NL_G;NL-NL;offshore
DE_B-DE_I;196.81060273557006;0;10;DE_B;DE_I;DE-DE;offshore
DE_C-DE_I;221.24415227883318;0;10;DE_C;DE_I;DE-DE;offshore
UK_E-UK_J;85.041838278968;0;10;UK_E;UK_J;UK-UK;offshore
UK_D-UK_J;221.6289695827175;0;10;UK_D;UK_J;UK-UK;offshore
UK_C-UK_J;441.4623777349452;0;10;UK_C;UK_J;UK-UK;offshore
UK_D-UK_I;106.30352215975324;0;10;UK_D;UK_I;UK-UK;offshore
UK_E-UK_I;188.62975328023828;0;10;UK_E;UK_I;UK-UK;offshore
UK_C-UK_I;285.48865219706636;0;10;UK_C;UK_I;UK-UK;offshore
DE_B-DE_H;83.01048505245132;0;10;DE_B;DE_H;DE-DE;offshore
DE_C-DE_H;108.80343327050346;0;10;DE_C;DE_H;DE-DE;offshore
DE_F-DE_H;136.39882833678078;0;10;DE_F;DE_H;DE-DE;offshore
UK_D-UK_E;208.29970884631342;0;10;UK_D;UK_E;UK-UK;offshore
UK_C-UK_F;104.53521855594417;0;10;UK_C;UK_F;UK-UK;offshore
