Pump_type;Specific_rotational_speed;Efficiency
Radial;0.20374178;72.23298333
Radial;0.226727471;76.52407665
Radial;0.250174423;79.39498416
Radial;0.284452361;82.37160649
Radial;0.32344751;84.30911637
Radial;0.3677927;86.05769672
Radial;0.427274826;87.9087776
Radial;0.504972223;89.388428
Radial;0.607118697;90.87450701
Radial;0.714483831;91.59683213
Radial;0.862755309;92.04540584
Radial;1.032975579;91.35718805
Radial;1.179827893;90.55682682
Radial;1.388689921;88.72860321
Radial;1.627554155;86.70984291
Radial;1.735782822;85.31697866
Mixed_flow;1.263798288;87.74859821
Mixed_flow;1.499976162;89.79664437
Mixed_flow;1.795690579;91.18665146
Mixed_flow;2.140583829;92.0082628
Mixed_flow;2.403213201;92.05165588
Mixed_flow;2.852852274;91.07682947
Mixed_flow;3.286631043;89.52396441
Mixed_flow;3.612092486;87.48109684
Axial;3.329743408;86.69484283
Axial;3.611779094;88.89806836
Axial;4.037263536;90.16789626
Axial;4.571593593;90.30896841
Axial;5.04558918;89.21235568
Axial;5.497772689;87.54413288
Axial;5.863497791;85.77340956
