Time (CET),Day-ahead Total Load Forecast [MW] - Netherlands (NL),Actual Total Load [MW] - Netherlands (NL)
01.01.2018 00:00 - 01.01.2018 00:15,11406,10829
01.01.2018 00:15 - 01.01.2018 00:30,11470,10818
01.01.2018 00:30 - 01.01.2018 00:45,11512,10850
01.01.2018 00:45 - 01.01.2018 01:00,11453,10795
01.01.2018 01:00 - 01.01.2018 01:15,11272,10763
01.01.2018 01:15 - 01.01.2018 01:30,11081,10774
01.01.2018 01:30 - 01.01.2018 01:45,10967,10652
01.01.2018 01:45 - 01.01.2018 02:00,10871,10570
01.01.2018 02:00 - 01.01.2018 02:15,10772,10475
01.01.2018 02:15 - 01.01.2018 02:30,10771,10400
01.01.2018 02:30 - 01.01.2018 02:45,10687,10320
01.01.2018 02:45 - 01.01.2018 03:00,10614,10220
01.01.2018 03:00 - 01.01.2018 03:15,10581,10167
01.01.2018 03:15 - 01.01.2018 03:30,10571,10093
01.01.2018 03:30 - 01.01.2018 03:45,10596,9984
01.01.2018 03:45 - 01.01.2018 04:00,10561,9885
01.01.2018 04:00 - 01.01.2018 04:15,10555,9805
01.01.2018 04:15 - 01.01.2018 04:30,10634,9782
01.01.2018 04:30 - 01.01.2018 04:45,10672,9745
01.01.2018 04:45 - 01.01.2018 05:00,10754,9733
01.01.2018 05:00 - 01.01.2018 05:15,10829,9729
01.01.2018 05:15 - 01.01.2018 05:30,10952,9714
01.01.2018 05:30 - 01.01.2018 05:45,11170,9782
01.01.2018 05:45 - 01.01.2018 06:00,11390,9848
01.01.2018 06:00 - 01.01.2018 06:15,11630,9969
01.01.2018 06:15 - 01.01.2018 06:30,12069,10063
01.01.2018 06:30 - 01.01.2018 06:45,12496,10094
01.01.2018 06:45 - 01.01.2018 07:00,12871,10153
01.01.2018 07:00 - 01.01.2018 07:15,13309,10293
01.01.2018 07:15 - 01.01.2018 07:30,13916,10355
01.01.2018 07:30 - 01.01.2018 07:45,14351,10445
01.01.2018 07:45 - 01.01.2018 08:00,15014,10542
01.01.2018 08:00 - 01.01.2018 08:15,15420,10625
01.01.2018 08:15 - 01.01.2018 08:30,15839,10751
01.01.2018 08:30 - 01.01.2018 08:45,16160,10716
01.01.2018 08:45 - 01.01.2018 09:00,16311,10681
01.01.2018 09:00 - 01.01.2018 09:15,16534,10818
01.01.2018 09:15 - 01.01.2018 09:30,16727,11011
01.01.2018 09:30 - 01.01.2018 09:45,16926,11121
01.01.2018 09:45 - 01.01.2018 10:00,17052,11251
01.01.2018 10:00 - 01.01.2018 10:15,17118,11383
01.01.2018 10:15 - 01.01.2018 10:30,17164,11502
01.01.2018 10:30 - 01.01.2018 10:45,17199,11576
01.01.2018 10:45 - 01.01.2018 11:00,17232,11695
01.01.2018 11:00 - 01.01.2018 11:15,17245,11735
01.01.2018 11:15 - 01.01.2018 11:30,17253,11875
01.01.2018 11:30 - 01.01.2018 11:45,17274,11946
01.01.2018 11:45 - 01.01.2018 12:00,17290,12004
01.01.2018 12:00 - 01.01.2018 12:15,17294,12084
01.01.2018 12:15 - 01.01.2018 12:30,17260,12212
01.01.2018 12:30 - 01.01.2018 12:45,17208,12233
01.01.2018 12:45 - 01.01.2018 13:00,17108,12313
01.01.2018 13:00 - 01.01.2018 13:15,17159,12351
01.01.2018 13:15 - 01.01.2018 13:30,17168,12385
01.01.2018 13:30 - 01.01.2018 13:45,17168,12430
