Q,Eta
2.979606923,3.4457528
5.97552197,6.8166966
8.450373711,9.5203149
11.59107271,12.874647
14.34196867,15.7322797
17.20662348,18.6218161
20.23356363,21.6388635
22.96616272,24.2602224
26.12515859,27.2773869
29.30165585,30.2075195
32.01675359,32.6741936
34.77321813,35.14112
38.32917676,38.2402137
41.39668826,40.8701372
45.06242816,43.9527574
48.59611231,46.8652204
52.21650778,49.8317543
55.79553637,52.6923774
59.7914156,55.8658755
64.00287978,59.1771229
68.20797984,62.4486184
72.64218863,65.89096
77.74675266,69.8927016
82.00143989,73.2001065
86.72442117,76.9927023
91.79265659,81.1076386
96.82429826,85.3139252
100,88.0748034
