Specific_rotational_speed,D_s
0.049233117,27.67162233
0.052194778,26.68523822
0.059023112,24.8396347
0.065014593,23.46320603
0.072269579,21.88311578
0.083830924,20.13864705
0.096689869,18.1327834
0.109102955,16.5298676
0.122505967,15.18938753
0.138916054,13.71829004
0.156757023,12.44023442
0.184009529,10.79365236
0.214000826,9.599345557
0.237994686,8.717592188
0.26855741,7.915643765
0.303053442,7.163350164
0.34010368,6.519984183
0.38168661,5.928707499
0.41575205,5.495781685
0.465155732,5.018722562
0.510671759,4.659941522
0.544714138,4.480991353
0.580310198,4.228312033
0.619828379,4.038940289
0.660953935,3.8607151
0.705223715,3.688300496
0.745724192,3.566770535
0.797122607,3.434571692
0.841324059,3.315203103
0.900996998,3.198297622
0.949163575,3.087599498
1.005423813,2.978128287
1.070821268,2.877072102
1.136442286,2.773254273
1.208046807,2.687666289
1.292730876,2.599438997
1.362806081,2.522148235
1.451765473,2.4363956
1.537354299,2.37361191
1.630187084,2.313564013
1.734283063,2.230065343
1.830636473,2.182641787
1.956291318,2.114024928
2.082280197,2.059231502
2.206702908,2.005792746
2.368386343,1.955512741
2.473036942,1.922764597
2.659315431,1.869076739
2.807560002,1.823412762
2.947752969,1.798061829
3.166667579,1.747739463
3.352775426,1.707497584
3.571722709,1.674362282
3.813240221,1.632105932
4.028589296,1.604065773
4.281419592,1.570173323
4.543681234,1.545379854
4.838019521,1.510628685
5.125138114,1.471367613
5.538181608,1.434577732
5.987538986,1.397815598
