Q,Eta
10, 23.763353201021104
12, 38.139511151992664
14.000000000000004, 45.85644728654611
16.000000000000004, 52.516636577016456
18, 57.28264844318669
20, 61.56763261831992
22.000000000000004, 64.651994317812
24.000000000000004, 67.93558757334651
26, 70.26035794664665
28, 72.54459328328828
30, 74.5459765923362
32, 76.47005041046468
34, 77.88971163868499
36, 79.3058507661413
38, 80.71610747630305
40, 81.98767762284432
42, 83.08284214907769
44, 84.1518007053106
46, 85.0717315412508
48.00000000000001, 85.974632196548
50, 86.84000307310144
52.00000000000001, 87.69829980697172
54, 88.38286402876078
56.00000000000001, 89.00039293364215
58.00000000000001, 89.66143127705165
60.00000000000001, 90.24079039745925
62.00000000000001, 90.82658804433319
64, 91.27272406747463
66.00000000000003, 91.6442384437787
68, 91.99179943315296
70.00000000000003, 92.36888166382238
72, 92.64971607750324
74.00000000000003, 92.9314572791269
76, 93.28214950907665
78, 93.16725320885178
80, 93.20260493180417
82, 93.42472933438273
84, 93.15139389657556
86, 93.20298350666936
88, 93.18897532291571
90, 93.31743624112092
92.00000000000003, 92.9824942883962
94, 92.81595974281711
96.00000000000003, 92.64853188935345
98, 92.4281127228033
100.00000000000003, 92.35463542587958
102, 92.15064006661554
104, 91.93247043065955
106, 91.71069763081513
108.00000000000003, 91.56850175708048
110, 91.33474392117881
112, 91.01170035505871
114, 90.71734899027045
116.00000000000003, 90.38482204864845
118, 90.03399493617421
120, 89.73705834018077
