OS,T,RH,E_tot,E_th,E_el,CO2_Out,Water_Out,adTime,prodTime,pressure,purgeDeltaTemp,prodTemp,purgeTime,airVolume,cycleTime,Point
2,5,0,5.1794,4.8687,0.31076,10.087,0,2662.5,766.76,0.01152,1.0006,386.66,5.0502,8.9e-06,3784.3102,1
2,5,0,5.19675339506173,4.88768341049383,0.309129984567901,10.16825,0,2666.23649691358,764.091790123457,0.0115164891975309,1.0006,388.249891975309,5.02783117283951,8.9e-06,3785.35611820988,2
2,5,0,5.21410679012346,4.90666682098765,0.307499969135802,10.2495,0,2669.97299382716,761.423580246914,0.0115129783950617,1.0006,389.839783950617,5.00546234567901,8.9e-06,3786.40203641975,3
2,5,0,5.2486,4.9444,0.30426,10.411,0,2677.4,756.12,0.011506,1.0006,393,4.961,8.9e-06,3788.481,4
2,5,0,5.2507,4.9464,0.30423,10.412,0,2674.2,755.15,0.011506,1.0006,393,4.9562,8.9e-06,3784.3062,5
2,5,22,5.1056,4.7086,0.39703,8.3475,0.21324,3173.7,554.8,0.11141,60,369.6,61.076,7.1962e-06,4139.576,1
2,5,22,5.1163,4.723,0.39331,8.5766,0.21959,3107.9,574.25,0.11212,60,369.69,59.025,7.2544e-06,4091.175,2
2,5,22,5.3186,4.8991,0.41944,10.025,0.29793,3321.7,669.17,0.12633,30.471,385.52,10.602,8.3519e-06,4351.472,3
2,5,22,5.9621,4.8665,1.0956,11.25,0.35327,3780.7,775.54,0.022362,1,393,26.196,8.9e-06,4932.436,4
2,5,22,5.9874,4.7814,1.206,11.304,0.3325,3629.7,669.17,0.016648,1,393,29.807,8.9e-06,4678.677,5
2,5,43,3.9599,3.5705,0.38935,9.246,0.11621,2974,303.21,0.1,1,363,32.317,8.9e-06,3659.527,1
2,5,43,3.9869,3.6816,0.30524,11.185,0.10205,2794.4,257.98,0.16024,21.316,391.95,30.897,8.8999e-06,3433.277,2
2,5,43,4.0514,3.7522,0.29921,11.794,0.12639,2974,303.21,0.17232,1,393,32.317,8.9e-06,3659.527,3
