Turbine_type;Specific_rotational_speed;Efficiency
Pelton;0.084978083;0.838281729
Pelton;0.091731557;0.852695296
Pelton;0.104690927;0.873867277
Pelton;0.116297453;0.876126523
Pelton;0.133594507;0.877939331
Pelton;0.144878929;0.875695546
Pelton;0.150408403;0.872997592
Pelton;0.155744613;0.867597819
Pelton;0.160919772;0.859946531
Pelton;0.176574088;0.838793877
Francis;0.319202306;0.912736365
Francis;0.457127787;0.920934588
Francis;0.635015797;0.927808959
Francis;0.841227597;0.930649928
Francis;1.030077923;0.930777482
Francis;1.207386142;0.929546395
Francis;1.40160489;0.924724479
Francis;1.698381958;0.913667893
Francis;1.989275236;0.900355926
Francis;2.222941143;0.887005307
Kaplan;2.270655672;0.91405442
Kaplan;2.533354002;0.906577068
Kaplan;2.773129172;0.898633952
Kaplan;3.047047502;0.888012208
Kaplan;3.480622683;0.869393234
Kaplan;3.725830696;0.857401255
Kaplan;3.930979549;0.845382218
Kaplan;4.255726092;0.825338895
Kaplan;4.51176758;0.804798886
