ManufacturerID;ManufacturerName;TurbineID;TurbineName;RatedPowerkW;Offshore;MinimumHubHeightM;MaximumHubHeightM;CutInMS;RatedMS;CutOffMS;Voltage;AvailableSince;ws0;ws0_5;ws1;ws1_5;ws2;ws2_5;ws3;ws3_5;ws4;ws4_5;ws5;ws5_5;ws6;ws6_5;ws7;ws7_5;ws8;ws8_5;ws9;ws9_5;ws10;ws10_5;ws11;ws11_5;ws12;ws12_5;ws13;ws13_5;ws14;ws14_5;ws15;ws15_5;ws16;ws16_5;ws17;ws17_5;ws18;ws18_5;ws19;ws19_5;ws20;ws20_5;ws21;ws21_5;ws22;ws22_5;ws23;ws23_5;ws24;ws24_5;ws25;ws25_5;ws26;ws26_5;ws27;ws27_5;ws28;ws28_5;ws29;ws29_5;ws30;ws30_5;ws31;ws31_5;ws32;ws32_5;ws33;ws33_5;ws34;ws34_5;ws35;Conditions
14;Vestas;31;V90/1800;1800;No;80;105;3;13;25;690;#ND;0;0;0;0;0;0;10;20;46;110;170;240;355;460;580;727;874;1047;1219;1382;1544;1642;1740;1775;1789;1795;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
14;Vestas;32;V90/2000;2000;No;95;125;3;13.5;25;690;2004;0;0;0;0;0;0;10;20;46;110;170;240;355;460;580;732;884;1065;1245;1428;1612;1756;1900;1940;1968;1980;1990;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
14;Vestas;176;V47/660;660;No;40;55;4.5;14;25;690;1997;0;0;0;0;0;0;0;0;0;15;51;85;120;172;225;290;360;410;460;510;550;585;610;625;638;648;655;658;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Air density: 1,225 kg/m3
14;Vestas;27;V52/850;850;No;65;86;3;14;25;690;2000;0;0;0;0;0;0;5;15;30;49;67;97;127;162;197;244;290;350;410;475;539;600;660;710;751;784;816;840;850;850;850;850;850;850;850;850;850;850;850;850;850;850;850;850;850;850;850;850;850;850;850;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
14;Vestas;30;V80/2000;2000;No;60;100;3.5;14.5;25;690;2000;0;0;0;0;0;0;0;35;70;117;165;225;285;372;459;580;701;832;964;1127;1289;1428;1567;1678;1788;1865;1941;1966;1990;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
3;Enercon;6;E82/2000;2000;No;78;138;2;12.5;25;400 - 690;2005;0;0;0;0;3;12;25;53;82;128;174;247;321;426;532;674;815;998;1180;1380;1580;1695;1810;1895;1965;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Air density: 1,225 kg/m3
143;Wobben;872;E82/2000;2000;No;78;138;2;13;25;400 - 690;#ND;0;0;0;0;3;12;25;53;82;128;174;247;321;426;532;674;815;998;1180;1380;1580;1695;1810;1895;1980;2020;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
14;Vestas;208;V27/225;225;No;33.5;33.5;3.5;14;25;400 - 480;1989;0;0;0;0;0;0;0;2;5;10;17;25;32;43;53;68;82;99;115;132;148;165;181;193;205;212;218;223;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Air density: 1,225 kg/m3
3;Enercon;495;E82/2300;2300;No;78;138;2;14;25;690;2009;0;0;0;0;3;12;25;50;82;125;174;245;321;427;532;674;815;998;1180;1380;1580;1735;1890;1995;2100;2175;2240;2280;2300;2300;2300;2300;2300;2300;2300;2300;2300;2300;2300;2300;2300;2300;2300;2300;2300;2300;2300;2300;2300;2300;2300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Air density: 1,225 kg/m3
3;Enercon;929;E82/2350;2350;No;59;84;2;14;25;690;#ND;0;0;0;0;3;12;25;50;82;125;174;245;321;427;532;674;815;998;1180;1380;1580;1735;1890;1995;2100;2175;2250;2315;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
3;Enercon;983;E82/2050;2050;No;#ND;#ND;2;13;25;#ND;#ND;0;0;0;0;3;12;25;53;82;128;174;247;321;426;532;674;815;998;1180;1380;1580;1695;1810;1895;1980;2020;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
154;Senvion;327;MM92/2050;2050;No;63.75;100;3.5;13;22;690;#ND;0;0;0;0;0;0;0;42;85;142;200;276;353;472;591;740;890;1138;1386;1557;1728;1835;1942;1990;2009;2040;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;2050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
14;Vestas;177;V44/600;600;No;40;63;5;16;20;690;1995;0;0;0;0;0;0;0;0;0;0;30;55;77;106;135;171;206;247;287;329;371;411;450;482;514;536;558;570;582;590;598;599;600;600;600;600;600;600;600;600;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Air density: 1,225 kg/m3
3;Enercon;5;E70/2300;2300;No;57;113;2;15.5;25;400 - 2000;2005;0;0;0;0;2;10;18;37;56;91;127;183;240;320;400;513;626;759;892;1058;1223;1407;1590;1745;1900;1990;2080;2155;2230;2265;2300;2310;2310;2310;2310;2310;2310;2310;2310;2310;2310;2310;2310;2310;2310;2310;2310;2310;2310;2310;2310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Air density: 1,225 kg/m3
5;GE Energy;57;1.5sle;1500;No;61.4;85;3;15;25;690;2000;0;0;0;0;0;0;4;20;48;89;130;194;257;338;418;535;652;795;938;1071;1203;1277;1351;1394;1437;1459;1480;1488;1496;1498;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#ND
