time;ghi;dhi;temp_air;rh;dni;ws100
2009-01-01 00:00:00;0.0;-0.0;2.9633;78.6827;0.0;4.8562
2009-01-01 01:00:00;0.0;-0.0;3.0709;77.7519;0.0;4.7341
2009-01-01 02:00:00;0.0;-0.0;3.123;77.4331;0.0;4.4445
2009-01-01 03:00:00;0.0;-0.0;3.2147;76.9216;0.0;4.2043
2009-01-01 04:00:00;0.0;-0.0;3.3178;76.6373;0.0;4.3934
2009-01-01 05:00:00;0.0;-0.0;3.49;76.3678;0.0;4.9211
2009-01-01 06:00:00;0.0;-0.0;3.6248;75.6297;0.0;4.9199
2009-01-01 07:00:00;0.0;-0.0;3.8513;74.6161;0.0;4.6389
2009-01-01 08:00:00;0.0;-0.0;3.985;74.5843;0.0;4.0509
2009-01-01 09:00:00;7.5335;7.0854;4.1707;74.1508;3.1622;3.3132
2009-01-01 10:00:00;32.3862;31.9908;4.617;72.4905;1.9117;2.9078
2009-01-01 11:00:00;73.4242;61.3524;4.7325;71.3018;51.0332;2.8386
2009-01-01 12:00:00;97.4537;77.7514;4.9466;68.8419;86.0834;3.2822
2009-01-01 13:00:00;108.6063;74.7369;5.0395;68.7102;183.755;3.8991
2009-01-01 14:00:00;81.5169;69.7877;5.2434;68.271;110.7395;4.1346
2009-01-01 15:00:00;37.4033;32.9357;5.411;68.14;0.0;4.3519
2009-01-01 16:00:00;4.6909;3.9661;5.4903;69.1194;0.0;4.5346
2009-01-01 17:00:00;0.0;-0.0;5.6919;69.368;0.0;4.826
2009-01-01 18:00:00;0.0;-0.0;5.8347;70.2175;0.0;5.032
2009-01-01 19:00:00;0.0;-0.0;5.7656;74.5227;0.0;5.187
2009-01-01 20:00:00;0.0;-0.0;5.6693;76.9388;0.0;5.4798
2009-01-01 21:00:00;0.0;-0.0;5.5266;80.9016;0.0;5.5281
2009-01-01 22:00:00;0.0;-0.0;5.5141;80.7498;0.0;5.3461
2009-01-01 23:00:00;0.0;-0.0;5.5832;79.214;0.0;5.5947
2009-01-02 00:00:00;0.0;-0.0;5.6761;73.4011;0.0;6.102
2009-01-02 01:00:00;0.0;-0.0;5.6614;67.8148;0.0;6.7524
2009-01-02 02:00:00;0.0;-0.0;5.5492;62.8811;0.0;7.6619
2009-01-02 03:00:00;0.0;-0.0;5.351;61.6354;0.0;8.23
2009-01-02 04:00:00;0.0;-0.0;5.2683;62.1312;0.0;8.3165
2009-01-02 05:00:00;0.0;-0.0;5.1584;65.2295;0.0;8.3453
2009-01-02 06:00:00;0.0;-0.0;5.0633;70.3469;0.0;8.7725
2009-01-02 07:00:00;0.0;-0.0;5.1279;69.6213;0.0;9.7892
2009-01-02 08:00:00;0.0;-0.0;5.0429;70.9358;0.0;10.4753
2009-01-02 09:00:00;19.8977;13.0052;4.9194;73.3117;48.3684;10.4979
2009-01-02 10:00:00;83.6759;46.9599;4.8639;66.1794;176.5824;10.2121
2009-01-02 11:00:00;137.451;73.613;4.694;64.5583;268.2585;9.6347
2009-01-02 12:00:00;177.1687;76.496;4.6012;61.0806;436.5829;8.7027
2009-01-02 13:00:00;173.6427;72.1135;4.5491;58.4164;545.0028;7.7695
2009-01-02 14:00:00;136.7675;55.1118;4.5298;56.7334;755.458;6.7739
2009-01-02 15:00:00;64.5549;36.1283;4.5003;55.5516;0.0;5.7992
2009-01-02 16:00:00;6.6792;5.0055;4.5049;54.3523;0.0;5.415
2009-01-02 17:00:00;0.0;-0.0;4.4414;56.4521;0.0;5.2421
2009-01-02 18:00:00;0.0;-0.0;4.4607;56.2018;0.0;5.2321
2009-01-02 19:00:00;0.0;-0.0;4.4539;55.9417;0.0;4.9592
2009-01-02 20:00:00;0.0;-0.0;4.3622;55.8776;0.0;4.3296
2009-01-02 21:00:00;0.0;-0.0;4.2466;56.1695;0.0;3.6749
2009-01-02 22:00:00;0.0;-0.0;4.3995;59.035;0.0;2.9925
2009-01-02 23:00:00;0.0;-0.0;4.3837;55.5926;0.0;2.8406
2009-01-03 00:00:00;0.0;-0.0;4.3701;53.4758;0.0;3.3561
2009-01-03 01:00:00;0.0;-0.0;4.3202;52.7099;0.0;3.8852
2009-01-03 02:00:00;0.0;-0.0;4.3418;53.0562;0.0;3.9703
2009-01-03 03:00:00;0.0;-0.0;4.344;54.5283;0.0;4.1248
2009-01-03 04:00:00;0.0;-0.0;4.3757;56.2851;0.0;4.2094
2009-01-03 05:00:00;0.0;-0.0;4.4528;57.2618;0.0;4.4883
2009-01-03 06:00:00;0.0;-0.0;4.6238;57.4037;0.0;5.1204
2009-01-03 07:00:00;0.0;-0.0;4.7699;57.7696;0.0;5.9676
2009-01-03 08:00:00;0.0;-0.0;4.9308;58.6653;0.0;6.3744
2009-01-03 09:00:00;15.5329;15.4407;5.1494;58.6134;0.6432;6.9808
2009-01-03 10:00:00;53.9148;51.2264;5.2751;55.9439;12.8532;7.266
2009-01-03 11:00:00;91.8773;79.5552;5.3657;59.368;51.4446;7.9743
2009-01-03 12:00:00;114.9127;91.3095;5.3895;62.6467;101.5483;8.7457
2009-01-03 13:00:00;96.8168;77.1541;5.4586;64.9846;104.3774;9.6237
2009-01-03 14:00:00;58.1398;57.2305;5.0644;74.0744;8.239;10.3201
2009-01-03 15:00:00;29.0777;25.5721;4.9364;77.8421;0.0;10.781
2009-01-03 16:00:00;4.1318;3.8682;5.2071;74.5331;0.0;10.6714
2009-01-03 17:00:00;0.0;-0.0;5.2536;71.2674;0.0;11.196
2009-01-03 18:00:00;0.0;-0.0;5.1222;68.22;0.0;11.4506
2009-01-03 19:00:00;0.0;-0.0;5.0508;66.83;0.0;11.2613
2009-01-03 20:00:00;0.0;-0.0;5.0101;67.1049;0.0;10.9978
2009-01-03 21:00:00;0.0;-0.0;4.9942;68.7682;0.0;10.5468
2009-01-03 22:00:00;0.0;-0.0;4.822;66.9933;0.0;10.2868
2009-01-03 23:00:00;0.0;-0.0;4.8039;68.788;0.0;10.031
2009-01-04 00:00:00;0.0;-0.0;4.8979;69.4938;0.0;10.3017
2009-01-04 01:00:00;0.0;-0.0;5.0735;69.4029;0.0;10.589
2009-01-04 02:00:00;0.0;-0.0;5.0984;72.1063;0.0;10.7443
2009-01-04 03:00:00;0.0;-0.0;5.1641;74.3067;0.0;11.074
2009-01-04 04:00:00;0.0;-0.0;5.3317;75.6667;0.0;11.2242
2009-01-04 05:00:00;0.0;-0.0;5.5594;78.6987;0.0;11.4913
2009-01-04 06:00:00;0.0;-0.0;5.7656;78.8229;0.0;12.0286
2009-01-04 07:00:00;0.0;-0.0;5.8562;79.8696;0.0;11.754
2009-01-04 08:00:00;0.0;-0.0;5.9083;79.8824;0.0;11.6929
2009-01-04 09:00:00;8.9314;8.8919;6.0351;79.7774;0.2736;12.7315
2009-01-04 10:00:00;24.8372;24.824;5.9706;80.6948;0.0626;12.192
2009-01-04 11:00:00;41.1312;41.0258;6.0148;80.1744;0.4371;12.6541
2009-01-04 12:00:00;46.3658;46.3658;6.0397;80.124;0.0;13.0076
2009-01-04 13:00:00;39.7643;39.7643;6.0589;80.7477;0.0;12.7681
2009-01-04 14:00:00;26.9496;26.9496;6.094;81.231;0.0;13.3932
2009-01-04 15:00:00;17.3192;17.3192;6.0227;81.8107;0.0;13.0645
2009-01-04 16:00:00;2.6251;2.6251;5.8958;83.9833;0.0;13.1883
2009-01-04 17:00:00;0.0;-0.0;5.5855;87.4213;0.0;12.3805
2009-01-04 18:00:00;0.0;-0.0;5.505;87.7672;0.0;10.7898
2009-01-04 19:00:00;0.0;-0.0;5.4518;89.9154;0.0;8.9042
2009-01-04 20:00:00;0.0;-0.0;5.3317;89.7023;0.0;6.9842
2009-01-04 21:00:00;0.0;-0.0;5.001;88.1271;0.0;5.6391
2009-01-04 22:00:00;0.0;-0.0;4.6317;93.5241;0.0;5.6104
2009-01-04 23:00:00;0.0;-0.0;4.0688;94.8815;0.0;7.5659
2009-01-05 00:00:00;0.0;-0.0;3.7743;89.2623;0.0;9.321
2009-01-05 01:00:00;0.0;-0.0;3.9714;81.9825;0.0;11.3243
2009-01-05 02:00:00;0.0;-0.0;3.6021;75.9419;0.0;12.1037
2009-01-05 03:00:00;0.0;-0.0;3.2532;75.8923;0.0;12.5689
2009-01-05 04:00:00;0.0;-0.0;2.9134;77.794;0.0;13.1486
2009-01-05 05:00:00;0.0;-0.0;2.5838;79.9208;0.0;13.7495
2009-01-05 06:00:00;0.0;-0.0;2.1783;78.5901;0.0;13.6924
2009-01-05 07:00:00;0.0;-0.0;2.1115;73.1264;0.0;13.2441
2009-01-05 08:00:00;0.0;-0.0;1.8895;67.588;0.0;12.864
2009-01-05 09:00:00;24.7595;14.6909;1.7184;68.213;69.1162;12.5794
2009-01-05 10:00:00;97.6711;46.8406;1.7751;71.9637;239.7306;12.1023
2009-01-05 11:00:00;158.0166;68.9808;1.6743;73.1147;366.4001;11.9676
2009-01-05 12:00:00;190.2164;77.6169;1.6131;73.4566;476.1527;11.7088
2009-01-05 13:00:00;176.7182;79.762;1.6595;71.8064;502.609;11.6038
2009-01-05 14:00:00;144.7048;60.0312;1.7728;68.8788;734.6563;11.4483
2009-01-05 15:00:00;73.8281;38.3113;1.9744;64.7709;0.0;11.4793
2009-01-05 16:00:00;8.745;6.6233;2.2587;59.4716;0.0;11.4821
2009-01-05 17:00:00;0.0;-0.0;2.4626;54.7066;0.0;11.5631
2009-01-05 18:00:00;0.0;-0.0;2.4207;56.4396;0.0;11.5276
2009-01-05 19:00:00;0.0;-0.0;2.312;57.6988;0.0;11.2416
2009-01-05 20:00:00;0.0;-0.0;2.09;59.2686;0.0;10.7009
2009-01-05 21:00:00;0.0;-0.0;1.8759;58.4995;0.0;9.8258
2009-01-05 22:00:00;0.0;-0.0;1.5282;65.2084;0.0;8.9378
2009-01-05 23:00:00;0.0;-0.0;1.4545;60.7424;0.0;8.0188
2009-01-06 00:00:00;0.0;-0.0;1.4262;57.2663;0.0;7.2661
2009-01-06 01:00:00;0.0;-0.0;1.4239;54.01;0.0;6.3905
2009-01-06 02:00:00;0.0;-0.0;1.3741;52.8063;0.0;5.6634
2009-01-06 03:00:00;0.0;-0.0;1.3231;52.1126;0.0;4.9973
2009-01-06 04:00:00;0.0;-0.0;1.2676;51.5201;0.0;4.4997
2009-01-06 05:00:00;0.0;-0.0;1.2631;50.7621;0.0;3.9569
2009-01-06 06:00:00;0.0;-0.0;1.2065;49.8458;0.0;3.4672
2009-01-06 07:00:00;0.0;-0.0;1.168;49.2184;0.0;2.9164
2009-01-06 08:00:00;0.0;-0.0;1.1147;49.3627;0.0;2.348
2009-01-06 09:00:00;27.3224;15.8042;1.0921;50.1635;78.3603;1.9299
2009-01-06 10:00:00;103.496;45.9311;0.7307;47.7028;269.4291;1.8995
2009-01-06 11:00:00;168.8896;60.7446;0.7523;48.6857;441.5394;1.7445
2009-01-06 12:00:00;194.9228;70.9633;0.8089;49.7882;519.3564;2.1952
2009-01-06 13:00:00;182.2635;71.7858;0.9709;50.5839;565.5712;2.9697
2009-01-06 14:00:00;141.4119;60.3492;1.2291;50.8443;687.7968;3.9636
2009-01-06 15:00:00;73.0825;40.7681;1.6006;50.0049;0.0;4.6638
2009-01-06 16:00:00;9.3198;6.4731;1.9733;50.8304;0.0;5.5147
2009-01-06 17:00:00;0.0;-0.0;2.2587;54.5204;0.0;6.3565
2009-01-06 18:00:00;0.0;-0.0;2.4853;57.9054;0.0;7.2655
2009-01-06 19:00:00;0.0;-0.0;2.7175;60.8545;0.0;8.3092
2009-01-06 20:00:00;0.0;-0.0;2.9429;64.3518;0.0;9.4551
2009-01-06 21:00:00;0.0;-0.0;3.1094;65.1343;0.0;10.5117
2009-01-06 22:00:00;0.0;-0.0;2.7345;72.2618;0.0;11.0343
2009-01-06 23:00:00;0.0;-0.0;2.6439;73.35;0.0;11.1186
2009-01-07 00:00:00;0.0;-0.0;2.7787;77.6949;0.0;11.1969
2009-01-07 01:00:00;0.0;-0.0;3.4458;80.944;0.0;11.4362
2009-01-07 02:00:00;0.0;-0.0;4.4573;80.9432;0.0;11.3649
2009-01-07 03:00:00;0.0;-0.0;5.5979;80.9501;0.0;9.4105
2009-01-07 04:00:00;0.0;-0.0;5.7089;83.3728;0.0;8.7487
2009-01-07 05:00:00;0.0;-0.0;5.8437;83.0048;0.0;8.6778
2009-01-07 06:00:00;0.0;-0.0;5.7101;83.6852;0.0;8.4497
2009-01-07 07:00:00;0.0;-0.0;5.633;81.4919;0.0;8.1712
2009-01-07 08:00:00;0.0;-0.0;5.5968;80.5802;0.0;8.143
2009-01-07 09:00:00;21.0005;14.4902;5.5311;79.3535;43.8603;8.2138
2009-01-07 10:00:00;84.1419;44.3157;5.7565;80.3896;184.8908;9.5504
2009-01-07 11:00:00;148.8366;62.0149;5.7157;79.253;351.5398;9.1722
