Date,Hour,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
01.01.,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,9,0.013541890015701469,0.017320427862015618,0.019660010694760477,0.004976634096197341,0.014429348338217686,0.0012531033396057092,0.008049286797412758,0.004573934968106108,0.017646593647555366,0.0077169901714561045,0.01627102014644183,0.02135062261979439,0.0030778553732514705,0.009769241312043694,0.00601449795433287,0.02365625441445949,0.015724645436562063,0.022293134355254526,0.006024940210369844,0.016396109203148317,0.015884498037343802,0.007461240283818478,0.010233321188983563,0.0019767292162772565,0.007837135903083492,0.004513493373359557,0.008190355746269707,0.00726731361471524,0.010720760320344084,0.008813902357292309,0.0009736168205157331,0.012873764739347374,0.011435490239685889,0.011099909829797137,0.009084582352743792,0.024474191685961003,0.013945318440190129,0.004428089128582184
01.01.,10,0.06429857902744718,0.07034657383497465,0.07209740247470307,0.038201384864042724,0.06949329427001949,0.013132773333373059,0.046501504101772666,0.020914367138501797,0.06762899484544505,0.05287386936100759,0.06150500034660465,0.09091495465676205,0.03907142855618852,0.05814964043622805,0.03475191692233984,0.10179525199736653,0.059449204327067656,0.09339176285214973,0.024510277965501343,0.05863766248610573,0.07654700086714264,0.04905385337279611,0.05001261394414433,0.022352876362996415,0.03922917946170211,0.04538306508233145,0.04395155557642842,0.04057367647920335,0.04746915273845961,0.041846103151282996,0.010863128797850195,0.042928008469868384,0.05547060834577141,0.06762097152983565,0.05081785677847528,0.08772728460809565,0.07223862134914749,0.020994085545104464
01.01.,11,0.11300974390077043,0.1265444418686078,0.11542823094516938,0.07169015233990919,0.1230695058660061,0.025848325641675413,0.0844861198429133,0.03844099846030141,0.1160364775067296,0.10054348762427123,0.10607749762809553,0.159472896217139,0.08595888437555178,0.11485699838878907,0.0669704555734082,0.17395661665120982,0.10510387969787298,0.15805206562955493,0.04063094629580169,0.0941742413148852,0.13115013378594464,0.08891728520539459,0.08486287878771726,0.044587744916303115,0.07066628983515216,0.08892463381018109,0.08412452312968084,0.07106010032898799,0.08083722703154295,0.07449797475954002,0.02066751525556762,0.0680114846512944,0.1081343506073476,0.1267762788665777,0.08835785290123511,0.15040045073526853,0.13260014405404236,0.04098427919526017
01.01.,12,0.13426571821856478,0.1623674379849293,0.13545627996473555,0.09040722313568973,0.16357822654874904,0.030812127409948334,0.10846047861959082,0.051647870107106544,0.14454983406750388,0.13282013301161036,0.1331372603464712,0.2033849131021297,0.11858380545332178,0.15786684295314057,0.09250768230017416,0.21466601112998718,0.13445635690454932,0.19063112493720535,0.04864754768836557,0.11225800542192693,0.15853903252223359,0.10882661460882084,0.10345786944469741,0.06377883975159013,0.0980677412003515,0.1198385234300994,0.1112366757556698,0.08514692444573314,0.0966948803663317,0.09917099554966831,0.02637238152526416,0.07799096561653568,0.15307208753290932,0.16970129991174665,0.110732323555611,0.1873438953144771,0.1698611740193969,0.061145876639365965
01.01.,13,0.12534135561838966,0.16720116829272463,0.13010870441351802,0.08809257825488132,0.16816716397537113,0.02699439598824201,0.10978717274764822,0.05402482125186331,0.13940446925648947,0.12891953569479403,0.13259138395383346,0.2078754239547746,0.12883598575183036,0.16525709858040993,0.1034733802340756,0.214824183758325,0.138245967857654,0.18362836634398738,0.04248031051153059,0.10474296702186509,0.1543399581574623,0.10482483564698791,0.09649052503771237,0.06677481293966922,0.10660257684387885,0.11816386820785542,0.11413103983159323,0.08194101843377219,0.08787168017621252,0.10706870649047935,0.026216585680445752,0.07216693945239655,0.1633897440501642,0.18071404295882926,0.11286739898502415,0.18779413927892014,0.17206489895357094,0.06914464970196668
01.01.,14,0.08914361056360609,0.13874295862293204,0.10071422468185337,0.06830747673784288,0.13563838191810976,0.016602578363542696,0.08853217997873335,0.04305480370001864,0.10722046438765945,0.09833548325321793,0.10640599317436303,0.1711236247052161,0.11170566725006482,0.13794961057125407,0.09135897808962179,0.17251816647968404,0.11267800188694849,0.14446753785391458,0.03030889229305941,0.07230479594298497,0.12312085554973454,0.08229363249865979,0.07113187833863431,0.05059221441887519,0.08718584688778769,0.0900465065888249,0.08890706204311569,0.06455446202574655,0.06125253299432676,0.08539501341112546,0.01790591921377003,0.053519904600184076,0.13098169915403063,0.14854700151807776,0.0886647741988428,0.15213526027857502,0.13690683375179133,0.05603231062205104
01.01.,15,0.038710952210511004,0.08165827616396057,0.055415539776724095,0.03397844266679814,0.07720713186045619,0.004917516728561593,0.04699614010857951,0.025375084719405396,0.05948827915871432,0.056514796255648966,0.06039845504785693,0.10064886553851918,0.06412652516622493,0.07890991266025599,0.05452633536606469,0.09790100045950109,0.06114901556090554,0.08071583166845125,0.014384966002493896,0.03351791564468771,0.07209763063929148,0.04073226408809119,0.035691602860091466,0.026164875898747966,0.04865806220911584,0.05091856779607529,0.046431016225458865,0.03434189783191294,0.02746668125537953,0.045477581202039374,0.007216791352135642,0.02625011480019216,0.07093517790954539,0.08229506905699685,0.044998989844777716,0.08740276923303315,0.07138229338005417,0.027675871840570698
