Date;Hour;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
01.01.;1;54554.67142;61571.0327;55194.83502;64333.01175;74208.04757;55238.884;55833.05199;58376.464;64998.11732;56500.29715;64073.17213;67526.21492;56502.31678;56812.03283;65153.65557;92835.07157;58384.61734;63245.98554;60463.05808;64714.61277;70944.43759;67939.78344;62554.47997;57136.1232;56890.87343;51494.28483;60103.44494;71677.75067;64008.05984;63481.35308;52019.59552;56354.22454;60978.93562;60089.56353;58375.0511
01.01.;2;52473.46744;59784.88066;53143.70361;62058.5305;72151.15622;53271.91251;53760.26705;56151.49412;63076.50824;51940.32555;61900.19409;65359.4828;52415.33656;55003.06437;63136.05077;90677.25812;50572.06779;61181.60259;56200.73199;64988.01018;68708.98509;62805.69514;60644.61446;54966.79827;54963.51681;49296.77296;58083.91598;69259.9505;57636.33103;61379.79987;48780.4825;54397.8;58862.42924;58111.34401;56354.8102
01.01.;3;51972.6494;59194.72768;52495.42877;61183.06595;71484.5467;52698.20539;52974.70153;55376.27635;62735.22613;51305.11695;61104.29759;65153.72016;51841.20564;54542.40933;62577.50086;90218.15723;49894.87554;60615.40501;55311.1678;64117.62522;67814.06066;61847.21228;61347.07514;54270.04018;54233.69556;48439.30507;57527.15416;68388.78539;57023.45085;60800.51773;47700.40245;53731.3702;58083.47951;57712.77624;55758.17898
01.01.;4;53080.86276;60262.87425;53175.30262;62247.70546;72871.62621;53573.85845;53680.23636;56113.57833;63999.62096;52263.38709;62058.82475;66846.70641;53077.07378;55798.47446;63866.54198;93045.86212;50832.56732;61765.96089;55972.58756;64973.47488;68769.53732;62142.08068;62369.79343;55143.89492;55120.65545;48995.69013;58800.62648;69548.00226;58238.2422;61986.03158;48206.65497;54518.32591;58876.74473;58894.50442;56752.37979
01.01.;5;55578.46905;63263.30865;55365.81823;65768.1782;77623.23398;55847.80083;55666.9054;58431.33715;67479.98662;54988.61682;64997.66835;71816.47489;56135.97393;59098.36048;67908.2888;101161.7879;53279.75733;64888.9012;58573.13852;67997.19381;72443.93829;64781.57088;65773.23873;57406.01005;57975.80112;50916.06874;62440.84791;73552.07169;61933.7888;65248.83778;50089.75028;56924.63674;61497.40975;62292.95528;59579.59038
01.01.;6;59956.95429;68020.00107;59533.99472;70403.31631;82580.17017;60369.19217;59985.91737;62964.79881;72269.48084;59219.05334;69573.8151;76549.75751;60625.24271;63545.94981;72645.28223;106741.254;57469.17488;69565.70951;62672.51983;72117.07458;76911.32847;68525.9605;69933.47764;61873.9078;62130.9742;55025.47898;67071.53506;78058.29672;66243.95518;69916.39265;53938.41661;61210.58966;65838.46406;67083.61231;64169.92121
01.01.;7;64630.59162;72586.18777;64382.68623;74684.11832;86646.91993;65408.34521;64895.92806;67826.53933;76895.0887;63643.84531;74342.81126;80233.90201;65163.32645;67881.06921;76839.99694;109473.8119;61870.61391;74293.62794;66596.31378;75751.4363;80887.94412;71810.89962;73427.97665;66905.87846;66130.46914;60003.26802;71322.55051;82018.48858;70119.23728;74448.55842;58391.94536;65987.77518;70531.63285;71772.23668;68905.21265
01.01.;8;68744.0414;76484.49013;68614.71724;78934.47296;90433.6427;69503.04414;68572.57233;71712.78745;80907.99233;67544.61147;78149.00726;84909.86469;69225.29017;72081.10785;81350.1054;113232.7614;65764.0937;78212.94845;70347.48269;79483.56677;84565.14006;75373.86005;77138.5019;70915.79477;69916.95825;64037.16131;75784.28593;85558.22527;74274.17352;78346.61167;62122.25334;69918.0577;74611.17513;76215.77317;73136.16486
01.01.;9;71044.61868;78795.42269;71586.55755;82755.77599;93452.86506;72681.61679;70952.28142;72739.60476;81062.87879;74102.27956;80387.16508;88053.03061;72593.0414;75354.63081;82089.41187;113424.7508;72048.52522;75144.44032;73152.56113;83901.64394;84787.17531;82424.78729;79633.36265;73461.97888;73643.53903;66950.06517;78939.63253;84690.07817;82237.43031;76232.70667;65276.55938;70636.69495;76649.86426;77763.15003;75751.96705
01.01.;10;74614.13297;78449.82156;74966.22896;85807.21981;95755.91222;76479.46881;74187.71984;76363.5604;83709.89108;77356.61765;83628.66993;90432.18617;76327.36345;78908.87442;84106.50996;114119.9025;75044.73266;77257.08708;76517.64611;86769.45266;85741.70714;85009.9335;81888.00065;76919.66234;76959.18157;70598.50535;82317.96489;84257.21963;85149.20511;79368.08824;69211.94178;73994.22658;76239.45567;78436.30215;78478.02899
